day,direction,displacement_category,entry_time,reentry_time,current_time,label,retrace,pivot,flem,pivot_flem_dist,time_since_reentry_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_reentry
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:46:00-05:00,0,0.245,21795.0,21695.0,100.0,0.0,8.5,8.5,8.5,1.0,1,1
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:46:30-05:00,0,0.2925,21795.0,21695.0,100.0,30.0,4.75,13.25,6.625,1.0,2,2
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:47:00-05:00,0,0.325,21795.0,21695.0,100.0,60.0,3.0,16.25,5.416666666666667,1.0,3,3
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:47:30-05:00,0,0.2425,21795.0,21695.0,100.0,90.0,7.75,24.0,6.0,0.75,3,4
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:48:00-05:00,0,0.1925,21795.0,21695.0,100.0,120.0,5.25,29.25,5.85,0.6,3,5
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:48:30-05:00,0,0.195,21795.0,21695.0,100.0,150.0,0.0,29.25,4.875,0.5,3,6
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:49:00-05:00,0,0.29,21795.0,21695.0,100.0,180.0,9.75,39.0,5.571428571428571,0.5714285714285714,3,7
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:49:30-05:00,0,0.3625,21795.0,21695.0,100.0,210.0,8.0,47.0,5.875,0.625,3,8
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:50:00-05:00,0,0.43,21795.0,21695.0,100.0,240.0,6.75,53.75,5.972222222222222,0.6666666666666666,3,9
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:50:30-05:00,0,0.41,21795.0,21695.0,100.0,270.0,2.25,56.0,5.6,0.6,3,10
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:51:00-05:00,0,0.2225,21795.0,21695.0,100.0,300.0,18.75,74.75,6.795454545454546,0.5454545454545454,3,11
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:51:30-05:00,0,0.2375,21795.0,21695.0,100.0,330.0,1.5,76.25,6.354166666666667,0.5833333333333334,3,12
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:53:30-05:00,0,0.2725,21795.0,21695.0,100.0,450.0,17.5,119.5,7.46875,0.5625,3,16
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:54:00-05:00,0,0.3275,21795.0,21695.0,100.0,480.0,5.75,125.25,7.367647058823529,0.5882352941176471,3,17
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:54:30-05:00,0,0.3875,21795.0,21695.0,100.0,510.0,5.5,130.75,7.263888888888889,0.6111111111111112,4,18
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:55:00-05:00,0,0.2975,21795.0,21695.0,100.0,540.0,9.0,139.75,7.355263157894737,0.5789473684210527,4,19
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:55:30-05:00,0,0.28,21795.0,21695.0,100.0,570.0,1.5,141.25,7.0625,0.55,4,20
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:56:00-05:00,0,0.42,21795.0,21695.0,100.0,600.0,14.0,155.25,7.392857142857143,0.5714285714285714,4,21
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:56:30-05:00,0,0.605,21795.0,21695.0,100.0,630.0,18.5,173.75,7.8977272727272725,0.5909090909090909,4,22
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:57:00-05:00,1,0.715,21795.0,21695.0,100.0,660.0,11.75,185.5,8.065217391304348,0.6086956521739131,4,23
