open_date,direction,displacement_category,entry_time,pivot_time,flem_time,current_time,label,retrace,pivot_price,flem_price,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,zone_over_range,pivot_over_range
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 09:36:00-05:00,2025-01-03 09:33:00-05:00,2025-01-03 09:36:00-05:00,0,0.3673469387755102,21313.75,21362.75,49.0,0.0,2.75,2.75,2.75,1.0,1,1,0.1758034026465028,0.1852551984877126
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 09:36:00-05:00,2025-01-03 09:33:00-05:00,2025-01-03 09:36:30-05:00,0,0.413265306122449,21313.75,21362.75,49.0,30.0,2.0,4.75,2.375,1.0,2,2,0.1758034026465028,0.1852551984877126
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 09:36:00-05:00,2025-01-03 09:33:00-05:00,2025-01-03 09:37:00-05:00,0,0.8469387755102041,21313.75,21362.75,49.0,60.0,21.25,26.0,8.666666666666666,1.0,3,3,0.1758034026465028,0.1852551984877126
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 09:36:00-05:00,2025-01-03 09:33:00-05:00,2025-01-03 09:37:30-05:00,0,0.6428571428571429,21313.75,21362.75,49.0,90.0,9.5,35.5,8.875,0.75,3,4,0.1758034026465028,0.1852551984877126
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 09:36:00-05:00,2025-01-03 09:33:00-05:00,2025-01-03 09:38:00-05:00,1,0.7704081632653061,21313.75,21362.75,49.0,120.0,5.75,41.25,8.25,0.8,3,5,0.1758034026465028,0.1852551984877126
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:35:00-05:00,2025-01-06 09:36:00-05:00,0,0.2866666666666667,21756.25,21793.75,37.5,0.0,4.75,4.75,4.75,1.0,1,1,0.0948191593352883,0.1466275659824047
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:35:00-05:00,2025-01-06 09:36:30-05:00,0,0.58,21756.25,21793.75,37.5,30.0,12.75,17.5,8.75,1.0,2,2,0.0948191593352883,0.1466275659824047
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:35:00-05:00,2025-01-06 09:37:00-05:00,0,0.4333333333333333,21756.25,21793.75,37.5,60.0,5.75,23.25,7.75,0.6666666666666666,2,3,0.0948191593352883,0.1466275659824047
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:35:00-05:00,2025-01-06 09:37:30-05:00,0,0.6933333333333334,21756.25,21793.75,37.5,90.0,10.25,33.5,8.375,0.75,2,4,0.0948191593352883,0.1466275659824047
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:35:00-05:00,2025-01-06 09:38:00-05:00,1,0.5733333333333334,21756.25,21793.75,37.5,120.0,5.0,38.5,7.7,0.6,2,5,0.0948191593352883,0.1466275659824047
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:53:00-05:00,2025-01-07 09:39:00-05:00,2025-01-07 09:53:00-05:00,0,0.1025,21795.0,21695.0,100.0,0.0,6.25,6.25,6.25,1.0,1,1,0.2085816448152562,0.2383790226460071
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:53:00-05:00,2025-01-07 09:39:00-05:00,2025-01-07 09:53:30-05:00,0,0.2725,21795.0,21695.0,100.0,30.0,17.5,23.75,11.875,1.0,2,2,0.2085816448152562,0.2383790226460071
2025-01-07,short,high,2025-01-07 09:57:00-05:00,2025-01-07 09:53:00-05:00,2025-01-07 09:39:00-05:00,2025-01-07 09:54:00-05:00,0,0.3275,21795.0,21695.0,100.0,60.0,5.75,29.5,9.833333333333334,1.0,3,3,0.2085816448152562,0.2383790226460071
