open_date,direction,displacement_category,entry_time,pivot_time,flem_time,retrace,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,zone_over_range,pivot_over_range,label_valid,label_win,entry_price,net_pnl,setup_valid_raw
2025-01-03,long,medium,2025-01-03 14:38:00+00:00,2025-01-03 14:36:00+00:00,2025-01-03 14:33:00+00:00,0.8,42.5,120.0,5.75,41.25,8.25,0.8,3,5,0.18898488,0.18358531,1,1,21345.75,155.6,yes
2025-01-06,long,medium,2025-01-06 14:38:00+00:00,2025-01-06 14:36:00+00:00,2025-01-06 14:35:00+00:00,0.57333333,37.5,120.0,5.0,38.5,7.7,0.6,2,5,0.13997114,0.21645022,1,1,21782.75,75.1,yes
2025-01-07,short,medium,2025-01-07 14:57:00+00:00,2025-01-07 14:53:00+00:00,2025-01-07 14:39:00+00:00,-0.82898551,86.25,240.0,11.75,89.75,9.9722,0.7778,4,9,0.18120393,0.21191646,1,1,21735.25,561.6,yes
2025-01-10,short,low,2025-01-10 14:37:00+00:00,2025-01-10 14:34:00+00:00,2025-01-10 14:31:00+00:00,-0.93258427,66.75,180.0,4.25,110.0,15.7143,0.7143,3,7,0.08139535,0.20697674,1,1,21133.25,345.1,yes
2025-01-13,long,medium,2025-01-13 15:05:00+00:00,2025-01-13 15:01:00+00:00,2025-01-13 14:56:00+00:00,0.39252336,53.5,240.0,2.25,65.75,7.3056,0.6667,3,9,0.34033613,0.29971989,1,1,20802.75,54.6,yes
2025-01-14,long,low,2025-01-14 15:16:00+00:00,2025-01-14 15:13:00+00:00,2025-01-14 15:13:00+00:00,1.0,12.5,180.0,14.75,73.75,10.5357,0.7143,4,7,0.06953125,0.0390625,1,0,21091.25,-1109.0,yes
2025-01-16,short,medium,2025-01-16 14:42:00+00:00,2025-01-16 14:40:00+00:00,2025-01-16 14:34:00+00:00,-0.45756458,67.75,120.0,3.5,40.5,8.1,0.8,4,5,0.31396957,0.37482711,1,1,21446.0,866.0,yes
2025-01-16,short,medium,2025-01-16 14:43:00+00:00,2025-01-16 14:40:00+00:00,2025-01-16 14:34:00+00:00,-0.83763838,67.75,180.0,24.75,67.0,9.5714,0.8571,6,7,0.31396957,0.37482711,1,1,21441.25,129.6,yes
2025-01-17,short,medium,2025-01-17 14:37:00+00:00,2025-01-17 14:36:00+00:00,2025-01-17 14:34:00+00:00,-0.98496241,33.25,60.0,14.0,28.25,9.4167,1.0,3,3,0.16231884,0.19275362,1,1,21567.5,106.6,yes
2025-01-20,long,low,2025-01-20 14:35:30+00:00,2025-01-20 14:34:00+00:00,2025-01-20 14:33:00+00:00,1.28947368,9.5,90.0,5.75,22.25,5.5625,0.5,2,4,0.07553957,0.06834532,1,1,21737.25,51.6,yes
