day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-01-03,long,2025-01-03 09:57:00-05:00,21378.25,2025-01-03 10:21:00-05:00,21279.5,-296.25,3,418.5,loss,stop,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,69.75,21461.95,2025-01-03 10:21:00-05:00,21308.5,0.5535714285714286,0,False,0.501018625497818
2025-01-03,long,2025-01-03 10:34:00-05:00,21345.25,2025-01-03 11:04:00-05:00,21403.45,58.20000000000073,1,97.0,win,target_scale1,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,48.5,21403.45,,,1.0486486486486486,0,False,0.501018625497818
2025-01-03,long,2025-01-03 10:34:00-05:00,21345.25,2025-01-03 11:31:00-05:00,21442.25,97.0,1,97.0,win,target_scale2,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,48.5,21442.25,,,1.0486486486486486,0,False,0.501018625497818
2025-01-03,long,2025-01-03 10:34:00-05:00,21345.25,2025-01-03 11:55:00-05:00,21490.75,436.5,3,291.0,win,target,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,48.5,21490.75,,,1.0486486486486486,0,False,0.501018625497818
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:41:00-05:00,21804.1,52.19999999999709,2,87.0,win,target_scale1,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21804.1,,,0.58,0,False,0.5473920941352844
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:44:00-05:00,21821.5,130.5,3,130.5,win,target_scale2,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21821.5,,,0.58,0,False,0.5473920941352844
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:54:00-05:00,21843.25,391.5,6,261.0,win,target,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21843.25,,,0.58,0,False,0.5473920941352844
2025-01-08,short,2025-01-08 10:43:00-05:00,21318.25,2025-01-08 10:44:30-05:00,21298.45,59.39999999999782,3,99.0,win,target_scale1,21334.75,21316.0,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,16.5,21298.45,,,0.88,0,False,0.6547668278217316
2025-01-08,short,2025-01-08 10:43:00-05:00,21318.25,2025-01-08 10:52:00-05:00,21343.0,-74.25,3,99.0,loss,stop,21334.75,21316.0,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,16.5,21277.0,2025-01-08 10:52:00-05:00,21334.75,0.88,0,False,0.6547668278217316
2025-01-08,long,2025-01-08 10:55:00-05:00,21347.25,2025-01-08 11:03:00-05:00,21322.0,-328.25,13,474.5,loss,direction_flip,21329.0,21364.75,2025-01-08 10:54:00-05:00,2025-01-08 10:54:00-05:00,2025-01-08 10:55:00-05:00,18.25,21369.15,2025-01-08 11:03:00-05:00,21329.0,0.5104895104895105,1,False,0.7742578864097596
