day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong
2025-01-03,long,2025-01-03 09:57:00-05:00,21378.25,2025-01-03 10:21:00-05:00,21279.5,-296.25,3,418.5,loss,stop,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,69.75,21461.95,2025-01-03 10:21:00-05:00,21308.5,0.5535714285714286,0,False
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:41:00-05:00,21804.1,52.19999999999709,2,87.0,win,target_scale1,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21804.1,,,0.58,0,False
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:44:00-05:00,21821.5,130.5,3,130.5,win,target_scale2,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21821.5,,,0.58,0,False
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:54:00-05:00,21843.25,391.5,6,261.0,win,target,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21843.25,,,0.58,0,False
2025-01-08,short,2025-01-08 10:43:00-05:00,21318.25,2025-01-08 10:44:30-05:00,21298.45,59.39999999999782,3,99.0,win,target_scale1,21334.75,21316.0,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,16.5,21298.45,,,0.88,0,False
2025-01-08,short,2025-01-08 10:43:00-05:00,21318.25,2025-01-08 10:51:00-05:00,21331.75,-40.5,3,99.0,loss,stop,21334.75,21316.0,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,16.5,21277.0,2025-01-08 10:51:00-05:00,21326.5,0.88,0,False
2025-01-08,long,2025-01-08 10:55:00-05:00,21347.25,2025-01-08 11:03:00-05:00,21322.0,-328.25,13,474.5,loss,direction_flip,21329.0,21364.75,2025-01-08 10:54:00-05:00,2025-01-08 10:54:00-05:00,2025-01-08 10:55:00-05:00,18.25,21369.15,2025-01-08 11:03:00-05:00,21329.0,0.5104895104895105,0,False
2025-01-08,short,2025-01-08 11:05:00-05:00,21317.5,2025-01-08 11:07:00-05:00,21298.6,56.700000000004366,3,94.5,win,target_scale1,21333.25,21318.0,2025-01-08 11:04:00-05:00,2025-01-08 11:04:00-05:00,2025-01-08 11:04:00-05:00,15.75,21298.6,,,1.0327868852459017,0,False
2025-01-08,short,2025-01-08 11:05:00-05:00,21317.5,2025-01-08 11:11:00-05:00,21342.75,-75.75,3,94.5,loss,stop,21333.25,21318.0,2025-01-08 11:04:00-05:00,2025-01-08 11:04:00-05:00,2025-01-08 11:04:00-05:00,15.75,21278.125,2025-01-08 11:11:00-05:00,21325.375,1.0327868852459017,0,False
2025-01-13,long,2025-01-13 10:06:00-05:00,20822.0,2025-01-13 10:15:00-05:00,20772.75,-246.25,5,482.5,loss,stop,20773.75,20841.25,2025-01-13 10:02:00-05:00,2025-01-13 10:02:00-05:00,2025-01-13 10:02:00-05:00,48.25,20879.9,2025-01-13 10:15:00-05:00,20773.75,0.7148148148148148,0,False
2025-01-14,long,2025-01-14 09:42:00-05:00,21107.75,2025-01-14 09:47:00-05:00,21082.25,-255.0,10,500.0,loss,stop,21082.75,21122.5,2025-01-14 09:40:00-05:00,2025-01-14 09:40:00-05:00,2025-01-14 09:40:00-05:00,25.0,21137.75,2025-01-14 09:47:00-05:00,21082.75,0.6289308176100629,0,False
2025-01-14,short,2025-01-14 10:28:00-05:00,21033.5,2025-01-14 10:33:30-05:00,20994.5,39.0,1,65.0,win,target_scale1,21066.0,21032.25,2025-01-14 10:24:00-05:00,2025-01-14 10:24:00-05:00,2025-01-14 10:27:00-05:00,32.5,20994.5,,,0.9629629629629629,0,False
2025-01-14,short,2025-01-14 10:28:00-05:00,21033.5,2025-01-14 10:38:30-05:00,20968.5,130.0,2,130.0,win,target_scale2,21066.0,21032.25,2025-01-14 10:24:00-05:00,2025-01-14 10:24:00-05:00,2025-01-14 10:27:00-05:00,32.5,20968.5,,,0.9629629629629629,0,False
2025-01-14,short,2025-01-14 10:28:00-05:00,21033.5,2025-01-14 10:51:30-05:00,20936.0,390.0,4,260.0,win,target,21066.0,21032.25,2025-01-14 10:24:00-05:00,2025-01-14 10:24:00-05:00,2025-01-14 10:27:00-05:00,32.5,20936.0,,,0.9629629629629629,0,False
2025-01-16,short,2025-01-16 09:43:00-05:00,21441.25,2025-01-16 09:45:30-05:00,21402.55,38.70000000000073,1,64.5,win,target_scale1,21473.5,21405.75,2025-01-16 09:41:00-05:00,2025-01-16 09:41:00-05:00,2025-01-16 09:41:00-05:00,32.25,21402.55,,,0.47601476014760147,0,False
2025-01-16,short,2025-01-16 09:43:00-05:00,21441.25,2025-01-16 09:48:00-05:00,21376.75,129.0,2,129.0,win,target_scale2,21473.5,21405.75,2025-01-16 09:41:00-05:00,2025-01-16 09:41:00-05:00,2025-01-16 09:41:00-05:00,32.25,21376.75,,,0.47601476014760147,0,False
2025-01-16,short,2025-01-16 09:43:00-05:00,21441.25,2025-01-16 10:01:00-05:00,21344.5,387.0,4,258.0,win,target,21473.5,21405.75,2025-01-16 09:41:00-05:00,2025-01-16 09:41:00-05:00,2025-01-16 09:41:00-05:00,32.25,21344.5,,,0.47601476014760147,0,False
2025-01-17,short,2025-01-17 09:38:00-05:00,21556.25,2025-01-17 09:39:30-05:00,21519.35,73.80000000000291,2,123.0,win,target_scale1,21587.0,21548.25,2025-01-17 09:36:00-05:00,2025-01-17 09:36:00-05:00,2025-01-17 09:37:00-05:00,30.75,21519.35,,,0.7935483870967742,0,False
2025-01-17,short,2025-01-17 09:38:00-05:00,21556.25,2025-01-17 09:44:30-05:00,21494.75,123.0,2,123.0,win,target_scale2,21587.0,21548.25,2025-01-17 09:36:00-05:00,2025-01-17 09:36:00-05:00,2025-01-17 09:37:00-05:00,30.75,21494.75,,,0.7935483870967742,0,False
2025-01-17,short,2025-01-17 09:38:00-05:00,21556.25,2025-01-17 10:09:00-05:00,21556.25,0.0,4,246.0,win,target,21587.0,21548.25,2025-01-17 09:36:00-05:00,2025-01-17 09:36:00-05:00,2025-01-17 09:37:00-05:00,30.75,21464.0,,,0.7935483870967742,0,False
2025-01-20,long,2025-01-20 10:09:00-05:00,21736.5,2025-01-20 10:11:00-05:00,21715.0,-387.0,18,477.0,loss,direction_flip,21723.25,21739.75,2025-01-20 10:08:00-05:00,2025-01-20 10:08:00-05:00,2025-01-20 10:08:00-05:00,13.25,21752.4,2025-01-20 10:11:00-05:00,21723.25,0.803030303030303,0,False
2025-01-23,long,2025-01-23 10:31:00-05:00,21901.75,2025-01-23 10:37:30-05:00,21927.55,51.599999999998545,2,86.0,win,target_scale1,21880.25,21906.0,2025-01-23 10:18:00-05:00,2025-01-23 10:18:00-05:00,2025-01-23 10:21:00-05:00,21.5,21927.55,,,0.8349514563106796,1,False
2025-01-23,long,2025-01-23 10:31:00-05:00,21901.75,2025-01-23 11:03:00-05:00,21944.75,129.0,3,129.0,win,target_scale2,21880.25,21906.0,2025-01-23 10:18:00-05:00,2025-01-23 10:18:00-05:00,2025-01-23 10:21:00-05:00,21.5,21944.75,,,0.8349514563106796,1,False
2025-01-23,long,2025-01-23 10:31:00-05:00,21901.75,2025-01-23 11:45:30-05:00,21966.25,387.0,6,258.0,win,target,21880.25,21906.0,2025-01-23 10:18:00-05:00,2025-01-23 10:18:00-05:00,2025-01-23 10:21:00-05:00,21.5,21966.25,,,0.8349514563106796,1,False
2025-01-24,short,2025-01-24 10:12:00-05:00,22024.0,2025-01-24 10:15:30-05:00,22007.2,67.19999999999709,4,112.0,win,target_scale1,22038.0,22014.5,2025-01-24 10:11:00-05:00,2025-01-24 10:11:00-05:00,2025-01-24 10:11:00-05:00,14.0,22007.2,,,0.5957446808510638,0,False
2025-01-24,short,2025-01-24 10:12:00-05:00,22024.0,2025-01-24 10:21:30-05:00,21989.0,140.0,4,112.0,win,target_scale2,22038.0,22014.5,2025-01-24 10:11:00-05:00,2025-01-24 10:11:00-05:00,2025-01-24 10:11:00-05:00,14.0,21989.0,,,0.5957446808510638,0,False
2025-01-24,short,2025-01-24 10:12:00-05:00,22024.0,2025-01-24 11:43:00-05:00,22027.5,-14.0,4,112.0,loss,stop,22038.0,22014.5,2025-01-24 10:11:00-05:00,2025-01-24 10:11:00-05:00,2025-01-24 10:11:00-05:00,14.0,21968.0,2025-01-24 11:43:00-05:00,22024.0,0.5957446808510638,0,False
2025-01-28,long,2025-01-28 10:12:00-05:00,21335.5,2025-01-28 10:13:00-05:00,21361.3,51.599999999998545,2,86.0,win,target_scale1,21314.0,21368.0,2025-01-28 10:09:00-05:00,2025-01-28 10:09:00-05:00,2025-01-28 10:10:00-05:00,21.5,21361.3,,,0.39814814814814814,0,False
2025-01-28,long,2025-01-28 10:12:00-05:00,21335.5,2025-01-28 10:15:00-05:00,21378.5,129.0,3,129.0,win,target_scale2,21314.0,21368.0,2025-01-28 10:09:00-05:00,2025-01-28 10:09:00-05:00,2025-01-28 10:10:00-05:00,21.5,21378.5,,,0.39814814814814814,0,False
2025-01-28,long,2025-01-28 10:12:00-05:00,21335.5,2025-01-28 10:22:30-05:00,21400.0,387.0,6,258.0,win,target,21314.0,21368.0,2025-01-28 10:09:00-05:00,2025-01-28 10:09:00-05:00,2025-01-28 10:10:00-05:00,21.5,21400.0,,,0.39814814814814814,0,False
2025-01-31,long,2025-01-31 09:45:00-05:00,21819.5,2025-01-31 09:54:30-05:00,21857.3,37.79999999999927,1,63.0,win,target_scale1,21788.0,21824.0,2025-01-31 09:44:00-05:00,2025-01-31 09:44:00-05:00,2025-01-31 09:44:00-05:00,31.5,21857.3,,,0.875,1,False
2025-01-31,long,2025-01-31 09:45:00-05:00,21819.5,2025-01-31 10:01:00-05:00,21882.5,126.0,2,126.0,win,target_scale2,21788.0,21824.0,2025-01-31 09:44:00-05:00,2025-01-31 09:44:00-05:00,2025-01-31 09:44:00-05:00,31.5,21882.5,,,0.875,1,False
2025-01-31,long,2025-01-31 09:45:00-05:00,21819.5,2025-01-31 10:12:30-05:00,21914.0,378.0,4,252.0,win,target,21788.0,21824.0,2025-01-31 09:44:00-05:00,2025-01-31 09:44:00-05:00,2025-01-31 09:44:00-05:00,31.5,21914.0,,,0.875,1,False
2025-02-05,long,2025-02-05 09:44:00-05:00,21575.0,2025-02-05 09:54:00-05:00,21547.25,-277.5,10,470.0,loss,stop,21551.5,21587.75,2025-02-05 09:43:00-05:00,2025-02-05 09:43:00-05:00,2025-02-05 09:43:00-05:00,23.5,21603.2,2025-02-05 09:54:00-05:00,21551.5,0.6482758620689655,0,False
2025-02-05,short,2025-02-05 10:13:00-05:00,21513.5,2025-02-05 10:15:00-05:00,21558.5,-315.0,7,455.0,loss,direction_flip,21546.0,21501.0,2025-02-05 10:06:00-05:00,2025-02-05 10:06:00-05:00,2025-02-05 10:06:00-05:00,32.5,21474.5,2025-02-05 10:15:00-05:00,21546.0,0.7222222222222222,0,False
2025-02-05,short,2025-02-05 10:24:00-05:00,21535.75,2025-02-05 10:27:00-05:00,21559.75,-264.0,11,467.5,loss,direction_flip,21557.0,21510.0,2025-02-05 10:23:00-05:00,2025-02-05 10:23:00-05:00,2025-02-05 10:24:00-05:00,21.25,21510.25,2025-02-05 10:27:00-05:00,21557.0,0.4521276595744681,0,False
2025-02-05,long,2025-02-05 10:34:00-05:00,21567.75,2025-02-05 10:39:30-05:00,21595.05,54.599999999998545,2,91.0,win,target_scale1,21545.0,21586.0,2025-02-05 10:32:00-05:00,2025-02-05 10:32:00-05:00,2025-02-05 10:33:00-05:00,22.75,21595.05,,,0.5548780487804879,0,False
2025-02-05,long,2025-02-05 10:34:00-05:00,21567.75,2025-02-05 11:09:00-05:00,21613.25,136.5,3,136.5,win,target_scale2,21545.0,21586.0,2025-02-05 10:32:00-05:00,2025-02-05 10:32:00-05:00,2025-02-05 10:33:00-05:00,22.75,21613.25,,,0.5548780487804879,0,False
2025-02-05,long,2025-02-05 10:34:00-05:00,21567.75,2025-02-05 11:36:00-05:00,21636.0,341.25,5,227.5,win,target,21545.0,21586.0,2025-02-05 10:32:00-05:00,2025-02-05 10:32:00-05:00,2025-02-05 10:33:00-05:00,22.75,21636.0,,,0.5548780487804879,0,False
2025-02-06,long,2025-02-06 09:52:00-05:00,21797.0,2025-02-06 09:54:00-05:00,21821.6,73.79999999999563,3,123.0,win,target_scale1,21776.5,21814.0,2025-02-06 09:51:00-05:00,2025-02-06 09:51:00-05:00,2025-02-06 09:51:00-05:00,20.5,21821.6,,,0.5466666666666666,0,False
2025-02-06,long,2025-02-06 09:52:00-05:00,21797.0,2025-02-06 09:59:00-05:00,21782.25,-59.0,4,164.0,loss,stop,21776.5,21814.0,2025-02-06 09:51:00-05:00,2025-02-06 09:51:00-05:00,2025-02-06 09:51:00-05:00,20.5,21838.0,2025-02-06 09:59:00-05:00,21786.75,0.5466666666666666,0,False
2025-02-06,long,2025-02-06 11:09:00-05:00,21782.0,2025-02-06 11:11:00-05:00,21798.8,67.19999999999709,4,112.0,win,target_scale1,21768.0,21789.0,2025-02-06 11:05:00-05:00,2025-02-06 11:05:00-05:00,2025-02-06 11:06:00-05:00,14.0,21798.8,,,0.6666666666666666,1,False
2025-02-06,long,2025-02-06 11:09:00-05:00,21782.0,2025-02-06 11:38:00-05:00,21774.25,-31.0,4,112.0,loss,stop,21768.0,21789.0,2025-02-06 11:05:00-05:00,2025-02-06 11:05:00-05:00,2025-02-06 11:06:00-05:00,14.0,21817.0,2025-02-06 11:38:00-05:00,21775.0,0.6666666666666666,1,False
2025-02-13,short,2025-02-13 09:42:00-05:00,21851.5,2025-02-13 09:44:00-05:00,21883.25,-635.0,20,500.0,loss,direction_flip,21864.0,21835.0,2025-02-13 09:41:00-05:00,2025-02-13 09:41:00-05:00,2025-02-13 09:41:00-05:00,12.5,21836.5,2025-02-13 09:44:00-05:00,21864.0,0.43103448275862066,0,False
2025-02-13,long,2025-02-13 09:47:00-05:00,21896.25,2025-02-13 09:48:00-05:00,21864.5,-444.5,14,483.0,loss,stop,21879.0,21895.75,2025-02-13 09:46:00-05:00,2025-02-13 09:46:00-05:00,2025-02-13 09:46:00-05:00,17.25,21916.95,2025-02-13 09:48:00-05:00,21879.0,1.0298507462686568,0,False
2025-02-14,long,2025-02-14 10:49:00-05:00,22130.5,2025-02-14 10:57:00-05:00,22165.6,70.19999999999709,2,117.0,win,target_scale1,22101.25,22160.0,2025-02-14 10:19:00-05:00,2025-02-14 10:19:00-05:00,2025-02-14 10:42:00-05:00,29.25,22165.6,,,0.4978723404255319,0,False
2025-02-14,long,2025-02-14 10:49:00-05:00,22130.5,2025-02-14 11:20:00-05:00,22126.25,-8.5,2,117.0,loss,stop,22101.25,22160.0,2025-02-14 10:19:00-05:00,2025-02-14 10:19:00-05:00,2025-02-14 10:42:00-05:00,29.25,22189.0,2025-02-14 11:20:00-05:00,22130.5,0.4978723404255319,0,False
