day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-03-03,short,2026-03-03 09:57:00-05:00,24517.75,2026-03-03 10:17:30-05:00,24458.65,59.099999999998545,1,98.5,win,target_scale1,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,49.25,24458.65,,,0.6194968553459119,0,False,0.6177122712135314
2026-03-03,short,2026-03-03 09:57:00-05:00,24517.75,2026-03-03 10:21:00-05:00,24419.25,98.5,1,98.5,win,target_scale2,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,49.25,24419.25,,,0.6194968553459119,0,False,0.6177122712135314
2026-03-03,short,2026-03-03 09:57:00-05:00,24517.75,2026-03-03 10:26:00-05:00,24370.0,443.25,3,295.5,win,target,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,49.25,24370.0,,,0.6194968553459119,0,False,0.6177122712135314
2026-03-03,long,2026-03-03 11:37:00-05:00,24629.5,2026-03-03 11:47:00-05:00,24709.3,239.39999999999782,3,399.0,win,target,24563.0,24642.5,2026-03-03 11:31:00-05:00,2026-03-03 11:31:00-05:00,2026-03-03 11:34:00-05:00,66.5,24709.3,,,0.8364779874213837,1,False,0.632045316696167
2026-03-05,long,2026-03-05 10:45:00-05:00,25041.5,2026-03-05 10:48:30-05:00,25069.7,56.400000000001455,2,94.0,win,target_scale1,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,23.5,25069.7,,,0.44339622641509435,0,False,0.6177122712135314
2026-03-05,long,2026-03-05 10:45:00-05:00,25041.5,2026-03-05 10:52:30-05:00,25088.5,141.0,3,141.0,win,target_scale2,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,23.5,25088.5,,,0.44339622641509435,0,False,0.6177122712135314
2026-03-05,long,2026-03-05 10:45:00-05:00,25041.5,2026-03-05 11:09:00-05:00,25010.0,-157.5,5,235.0,loss,stop,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,23.5,25112.0,2026-03-05 11:09:00-05:00,25018.0,0.44339622641509435,0,False,0.6177122712135314
2026-03-05,short,2026-03-05 11:15:00-05:00,24986.0,2026-03-05 11:18:30-05:00,24951.2,69.59999999999854,2,116.0,win,target_scale1,25015.0,24956.5,2026-03-05 11:14:00-05:00,2026-03-05 11:14:00-05:00,2026-03-05 11:14:00-05:00,29.0,24951.2,,,0.49572649572649574,1,False,0.6618681192398072
2026-03-05,short,2026-03-05 11:15:00-05:00,24986.0,2026-03-05 11:32:00-05:00,25016.5,-61.0,2,116.0,loss,stop,25015.0,24956.5,2026-03-05 11:14:00-05:00,2026-03-05 11:14:00-05:00,2026-03-05 11:14:00-05:00,29.0,24928.0,2026-03-05 11:32:00-05:00,25015.0,0.49572649572649574,1,False,0.6618681192398072
2026-03-06,long,2026-03-06 10:07:00-05:00,24760.5,2026-03-06 10:10:00-05:00,24676.0,-422.5,5,420.0,loss,stop,24718.5,24777.75,2026-03-06 10:06:00-05:00,2026-03-06 10:06:00-05:00,2026-03-06 10:06:00-05:00,42.0,24810.9,2026-03-06 10:10:00-05:00,24718.5,0.7088607594936709,0,False,0.6618681192398072
2026-03-09,short,2026-03-09 09:50:00-04:00,24361.5,2026-03-09 10:04:00-04:00,24440.25,-315.0,4,468.0,loss,stop,24420.0,24343.5,2026-03-09 09:47:00-04:00,2026-03-09 09:47:00-04:00,2026-03-09 09:47:00-04:00,58.5,24291.3,2026-03-09 10:04:00-04:00,24420.0,0.7647058823529411,1,False,0.6198513150215149
2026-03-09,short,2026-03-09 10:20:00-04:00,24393.5,2026-03-09 10:37:00-04:00,24478.75,-255.75,3,495.0,loss,stop,24476.0,24343.5,2026-03-09 10:05:00-04:00,2026-03-09 10:05:00-04:00,2026-03-09 10:06:00-04:00,82.5,24294.5,2026-03-09 10:37:00-04:00,24476.0,0.6226415094339622,0,False,0.6068405508995056
2026-03-10,short,2026-03-10 09:56:00-04:00,24984.5,2026-03-10 10:09:30-04:00,24897.8,260.1000000000022,3,433.5,win,target,25056.75,24959.5,2026-03-10 09:45:00-04:00,2026-03-10 09:45:00-04:00,2026-03-10 09:48:00-04:00,72.25,24897.8,,,0.7429305912596401,1,False,0.6198513150215149
2026-03-11,long,2026-03-11 09:40:00-04:00,25102.5,2026-03-11 09:45:00-04:00,25070.25,-419.25,13,494.0,loss,stop,25083.5,25109.25,2026-03-11 09:39:00-04:00,2026-03-11 09:39:00-04:00,2026-03-11 09:39:00-04:00,19.0,25125.3,2026-03-11 09:45:00-04:00,25083.5,0.7378640776699029,0,False,0.6198513150215149
