day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-01-02,short,2025-01-02 09:54:00-05:00,21348.5,2025-01-02 09:54:30-05:00,21337.25,585.0,26,494.0,win,target,21358.0,21166.5,2025-01-02 09:53:00-05:00,2025-01-02 09:53:00-05:00,2025-01-02 09:54:00-05:00,9.5,21337.0,,,0.048302872062663184,0,False,0.482427191734314
2025-01-02,short,2025-01-02 11:41:00-05:00,21318.5,2025-01-02 11:41:30-05:00,21309.75,577.5,33,495.0,win,target,21326.0,21186.0,2025-01-02 11:40:00-05:00,2025-01-02 11:40:00-05:00,2025-01-02 11:41:00-05:00,7.5,21309.5,,,0.05178571428571429,0,False,0.6866011619567871
2025-01-02,short,2025-01-02 11:50:00-05:00,21345.5,2025-01-02 11:50:30-05:00,21339.75,575.0,50,500.0,win,target,21350.5,21186.0,2025-01-02 11:49:00-05:00,2025-01-02 11:49:00-05:00,2025-01-02 11:50:00-05:00,5.0,21339.5,,,0.028875379939209727,1,False,0.8347118854522705
2025-01-02,long,2025-01-02 11:54:00-05:00,21329.0,2025-01-02 11:55:00-05:00,21306.0,-1334.0,29,493.0,loss,direction_flip,21320.5,21357.0,2025-01-02 11:53:00-05:00,2025-01-02 11:53:00-05:00,2025-01-02 11:54:00-05:00,8.5,21339.25,2025-01-02 11:55:00-05:00,21320.5,0.22602739726027396,1,False,0.5520366191864013
2025-01-02,short,2025-01-02 12:00:00-05:00,21316.25,2025-01-02 12:01:00-05:00,21306.25,400.0,20,490.0,forced_close,forced_close,21328.5,21288.75,2025-01-02 11:59:00-05:00,2025-01-02 11:59:00-05:00,2025-01-02 11:59:00-05:00,12.25,21301.5,,,0.3018867924528302,0,False,0.5389443933963776
2025-01-03,long,2025-01-03 09:53:00-05:00,21340.5,2025-01-03 09:57:00-05:00,21378.75,535.5,7,448.0,win,target,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,32.0,21379.0,,,0.251984126984127,1,False,0.6946566224098205
2025-01-03,long,2025-01-03 10:19:00-05:00,21315.25,2025-01-03 10:21:00-05:00,21279.25,-1008.0,14,490.0,loss,stop,21297.75,21440.75,2025-01-03 10:18:00-05:00,2025-01-03 10:18:00-05:00,2025-01-03 10:19:00-05:00,17.5,21336.25,2025-01-03 10:21:00-05:00,21297.75,0.12062937062937062,0,False,0.6718644142150879
2025-01-03,short,2025-01-03 10:24:00-05:00,21297.5,2025-01-03 10:25:00-05:00,21322.25,-1336.5,27,499.5,loss,direction_flip,21306.75,21260.75,2025-01-03 10:23:00-05:00,2025-01-03 10:23:00-05:00,2025-01-03 10:24:00-05:00,9.25,21286.5,2025-01-03 10:25:00-05:00,21306.75,0.1956521739130435,0,False,0.6107200741767883
2025-01-03,long,2025-01-03 10:32:00-05:00,21323.5,2025-01-03 10:35:00-05:00,21355.25,571.5,9,481.5,win,target,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,26.75,21355.5,,,0.572972972972973,0,False,0.46044838428497314
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.25,2025-01-06 09:41:00-05:00,21804.5,577.5,11,484.0,win,target,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,22.0,21804.75,,,0.58,0,False,0.8161394596099854
