year,month,trades,actual_win_rate_pct,month_pnl,cumulative_pnl
2024,2024-01,87,31.0,-11482.0,-11482.0
2024,2024-05,79,36.7,2133.0,-9349.0
2024,2024-06,64,45.3,14626.5,5277.5
2024,2024-07,70,35.7,7191.0,12468.5
2024,2024-08,53,35.8,4122.0,16590.5
2024,2024-09,52,40.4,8785.0,25375.5
2024,2024-10,54,33.3,-4821.5,20554.0
2024,2024-11,60,36.7,-1920.0,18634.0
2024,2024-12,68,38.2,1580.0,20214.0
2025,2025-01,32,40.6,8400.5,8400.5
2025,2025-02,37,45.9,7337.5,15738.0
2025,2025-03,21,33.3,2523.0,18261.0
2025,2025-04,30,23.3,16497.5,34758.5
2025,2025-05,64,50.0,18821.0,53579.5
2025,2025-06,63,49.2,9863.5,63443.0
2025,2025-07,84,34.5,2256.5,65699.5
2025,2025-08,48,43.8,5674.0,71373.5
2025,2025-09,59,35.6,8015.0,79388.5
2025,2025-10,88,38.6,17913.5,97302.0
2025,2025-11,23,52.2,6049.0,103351.0
2025,2025-12,74,40.5,-1406.5,101944.5
2026,2026-01,30,46.7,11588.5,11588.5
2026,2026-02,7,28.6,981.5,12570.0
2026,2026-03,42,33.3,7850.0,20420.0
