day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-06-02,long,2025-06-02 09:54:00-04:00,21319.0,2025-06-02 09:55:30-04:00,21332.25,66.25,5,112.5,win,target_scale1,21307.75,21458.0,2025-06-02 09:53:00-04:00,2025-06-02 09:53:00-04:00,2025-06-02 09:54:00-04:00,11.25,21332.5,,,0.07321131447587355,0,False,0.8184335827827454
2025-06-02,long,2025-06-02 09:54:00-04:00,21319.0,2025-06-02 09:57:30-04:00,21346.875,139.375,5,112.5,win,target_scale2,21307.75,21458.0,2025-06-02 09:53:00-04:00,2025-06-02 09:53:00-04:00,2025-06-02 09:54:00-04:00,11.25,21347.125,,,0.07321131447587355,0,False,0.8184335827827454
2025-06-02,long,2025-06-02 09:54:00-04:00,21319.0,2025-06-02 09:59:00-04:00,21305.5,-67.5,5,112.5,loss,stop,21307.75,21458.0,2025-06-02 09:53:00-04:00,2025-06-02 09:53:00-04:00,2025-06-02 09:54:00-04:00,11.25,21364.0,2025-06-02 09:59:00-04:00,21307.75,0.07321131447587355,0,False,0.8184335827827454
2025-06-02,short,2025-06-02 10:05:00-04:00,21281.25,2025-06-02 10:08:00-04:00,21313.25,-320.0,10,490.0,loss,stop,21305.75,21234.5,2025-06-02 10:03:00-04:00,2025-06-02 10:03:00-04:00,2025-06-02 10:05:00-04:00,24.5,21251.85,2025-06-02 10:08:00-04:00,21305.75,0.34035087719298246,1,False,0.617226755619049
2025-06-02,short,2025-06-02 10:10:00-04:00,21317.5,2025-06-02 10:11:00-04:00,21302.75,73.75,5,125.0,win,target_scale1,21330.0,21234.5,2025-06-02 10:09:00-04:00,2025-06-02 10:09:00-04:00,2025-06-02 10:09:00-04:00,12.5,21302.5,,,0.12827225130890052,0,False,0.6654268026351928
2025-06-02,short,2025-06-02 10:10:00-04:00,21317.5,2025-06-02 10:12:00-04:00,21286.5,155.0,5,125.0,win,target_scale2,21330.0,21234.5,2025-06-02 10:09:00-04:00,2025-06-02 10:09:00-04:00,2025-06-02 10:09:00-04:00,12.5,21286.25,,,0.12827225130890052,0,False,0.6654268026351928
2025-06-02,short,2025-06-02 10:10:00-04:00,21317.5,2025-06-02 10:23:00-04:00,21344.5,-135.0,5,125.0,loss,direction_flip,21330.0,21234.5,2025-06-02 10:09:00-04:00,2025-06-02 10:09:00-04:00,2025-06-02 10:09:00-04:00,12.5,21267.5,2025-06-02 10:23:00-04:00,21330.0,0.12827225130890052,0,False,0.6654268026351928
2025-06-03,short,2025-06-03 09:35:00-04:00,21531.75,2025-06-03 09:42:00-04:00,21559.25,-330.0,12,498.0,loss,stop,21552.5,21527.5,2025-06-03 09:34:00-04:00,2025-06-03 09:34:00-04:00,2025-06-03 09:34:00-04:00,20.75,21506.85,2025-06-03 09:42:00-04:00,21552.5,0.82,0,False,0.7454771399497986
2025-06-03,short,2025-06-03 09:44:00-04:00,21555.25,2025-06-03 09:48:00-04:00,21592.0,-330.75,9,459.0,loss,stop,21580.75,21527.5,2025-06-03 09:43:00-04:00,2025-06-03 09:43:00-04:00,2025-06-03 09:43:00-04:00,25.5,21524.65,2025-06-03 09:48:00-04:00,21580.75,0.47417840375586856,0,False,0.6046463966369628
2025-06-03,long,2025-06-03 10:01:00-04:00,21610.25,2025-06-03 10:03:30-04:00,21635.5,50.5,2,85.0,win,target_scale1,21589.0,21606.0,2025-06-03 09:59:00-04:00,2025-06-03 09:59:00-04:00,2025-06-03 09:59:00-04:00,21.25,21635.75,,,1.2352941176470589,1,False,0.808873200416565
