day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-02,short,2026-01-02 09:36:00-05:00,25656.25,2026-01-02 09:37:00-05:00,25697.75,-290.5,7,465.5,loss,stop,25689.5,25654.25,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,33.25,25616.35,2026-01-02 09:37:00-05:00,25689.5,0.9361702127659575,0,False,0.7806582689285279
2026-01-02,short,2026-01-02 09:45:00-05:00,25690.0,2026-01-02 09:45:30-05:00,25682.15,219.79999999995925,28,378.0,win,target_scale1,25696.75,25638.0,2026-01-02 09:44:00-05:00,2026-01-02 09:44:00-05:00,2026-01-02 09:45:00-05:00,6.75,25681.9,,,0.11063829787234042,0,False,0.8997058868408203
2026-01-02,short,2026-01-02 09:45:00-05:00,25690.0,2026-01-02 09:46:00-05:00,25697.25,-65.25,9,121.5,loss,stop,25696.75,25638.0,2026-01-02 09:44:00-05:00,2026-01-02 09:44:00-05:00,2026-01-02 09:45:00-05:00,6.75,25663.0,2026-01-02 09:46:00-05:00,25696.75,0.11063829787234042,0,False,0.8997058868408203
2026-01-02,long,2026-01-02 10:01:00-05:00,25766.75,2026-01-02 10:08:00-05:00,25707.75,-354.0,6,477.0,loss,stop,25727.0,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,39.75,25814.45,2026-01-02 10:08:00-05:00,25727.0,0.5163398692810458,1,False,0.7486263751983643
2026-01-02,long,2026-01-02 10:11:00-05:00,25684.0,2026-01-02 10:11:30-05:00,25689.15,211.15000000005966,41,369.0,win,target_scale1,25679.5,25803.5,2026-01-02 10:10:00-05:00,2026-01-02 10:10:00-05:00,2026-01-02 10:11:00-05:00,4.5,25689.4,,,0.034274193548387094,0,False,0.8054445624351502
2026-01-02,long,2026-01-02 10:11:00-05:00,25684.0,2026-01-02 10:12:00-05:00,25656.75,-381.5,14,126.0,loss,direction_flip,25679.5,25803.5,2026-01-02 10:10:00-05:00,2026-01-02 10:10:00-05:00,2026-01-02 10:11:00-05:00,4.5,25702.0,2026-01-02 10:12:00-05:00,25679.5,0.034274193548387094,0,False,0.8054445624351502
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.0,2026-01-05 09:47:30-05:00,25589.55,70.35000000000218,3,118.5,win,target_scale1,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.75,25589.3,,,0.20689655172413793,0,False,0.5826600015163421
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.0,2026-01-05 09:48:30-05:00,25573.75,157.0,4,158.0,win,target_scale2,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.75,25573.5,,,0.20689655172413793,0,False,0.5826600015163421
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.0,2026-01-05 10:05:00-05:00,25634.75,-108.75,5,197.5,loss,stop,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.75,25553.75,2026-01-05 10:05:00-05:00,25632.75,0.20689655172413793,0,False,0.5826600015163421
2026-01-05,short,2026-01-05 10:07:00-05:00,25620.5,2026-01-05 10:10:00-05:00,25647.5,-243.0,9,459.0,loss,stop,25646.0,25538.5,2026-01-05 10:06:00-05:00,2026-01-05 10:06:00-05:00,2026-01-05 10:07:00-05:00,25.5,25589.9,2026-01-05 10:10:00-05:00,25646.0,0.23488372093023255,0,False,0.6120717644691467
2026-01-05,short,2026-01-05 10:13:00-05:00,25632.75,2026-01-05 10:17:00-05:00,25650.5,-355.0,20,480.0,loss,stop,25644.75,25538.5,2026-01-05 10:12:00-05:00,2026-01-05 10:12:00-05:00,2026-01-05 10:13:00-05:00,12.0,25618.35,2026-01-05 10:17:00-05:00,25644.75,0.11058823529411765,0,False,0.7529720306396485
2026-01-05,short,2026-01-05 10:19:00-05:00,25654.5,2026-01-05 10:20:00-05:00,25662.0,-277.5,37,499.5,loss,stop,25661.25,25538.5,2026-01-05 10:18:00-05:00,2026-01-05 10:18:00-05:00,2026-01-05 10:19:00-05:00,6.75,25646.4,2026-01-05 10:20:00-05:00,25661.25,0.05295315682281059,0,False,0.9647058844566345
2026-01-05,short,2026-01-05 10:23:00-05:00,25644.75,2026-01-05 10:28:00-05:00,25668.5,-308.75,13,487.5,loss,stop,25663.5,25538.5,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,18.75,25622.25,2026-01-05 10:28:00-05:00,25663.5,0.148,0,False,0.6406431913375854
2026-01-05,long,2026-01-05 10:31:00-05:00,25674.25,2026-01-05 10:32:30-05:00,25683.3,217.19999999998254,24,372.0,win,target_scale1,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.75,25683.55,,,0.42857142857142855,0,False,0.6892183423042297
2026-01-05,long,2026-01-05 10:31:00-05:00,25674.25,2026-01-05 10:38:00-05:00,25660.25,-112.0,8,124.0,loss,stop,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.75,25705.25,2026-01-05 10:38:00-05:00,25666.5,0.42857142857142855,0,False,0.6892183423042297
