day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-12-01,long,2025-12-01 09:37:00-05:00,25293.75,2025-12-01 09:37:30-05:00,25314.15,61.200000000004366,3,102.0,win,target_scale1,25276.75,25305.75,2025-12-01 09:36:00-05:00,2025-12-01 09:36:00-05:00,2025-12-01 09:36:00-05:00,17.0,25314.15,,,0.5862068965517241,0,False,0.5262551784515381
2025-12-01,long,2025-12-01 09:37:00-05:00,25293.75,2025-12-01 09:40:00-05:00,25260.0,-371.25,11,374.0,loss,stop,25276.75,25305.75,2025-12-01 09:36:00-05:00,2025-12-01 09:36:00-05:00,2025-12-01 09:36:00-05:00,17.0,25336.25,2025-12-01 09:40:00-05:00,25276.75,0.5862068965517241,0,False,0.5262551784515381
2025-12-01,long,2025-12-01 10:36:00-05:00,25294.5,2025-12-01 10:37:00-05:00,25328.4,67.80000000000291,2,113.0,win,target_scale1,25266.25,25389.75,2025-12-01 10:35:00-05:00,2025-12-01 10:35:00-05:00,2025-12-01 10:36:00-05:00,28.25,25328.4,,,0.22874493927125505,1,False,0.5034820139408112
2025-12-01,long,2025-12-01 10:36:00-05:00,25294.5,2025-12-01 10:40:30-05:00,25351.0,113.0,2,113.0,win,target_scale2,25266.25,25389.75,2025-12-01 10:35:00-05:00,2025-12-01 10:35:00-05:00,2025-12-01 10:36:00-05:00,28.25,25351.0,,,0.22874493927125505,1,False,0.5034820139408112
2025-12-01,long,2025-12-01 10:36:00-05:00,25294.5,2025-12-01 10:52:30-05:00,25379.25,339.0,4,226.0,win,target,25266.25,25389.75,2025-12-01 10:35:00-05:00,2025-12-01 10:35:00-05:00,2025-12-01 10:36:00-05:00,28.25,25379.25,,,0.22874493927125505,1,False,0.5034820139408112
2025-12-02,short,2025-12-02 11:27:00-05:00,25466.25,2025-12-02 11:29:00-05:00,25444.05,66.60000000000218,3,111.0,win,target_scale1,25484.75,25452.75,2025-12-02 11:26:00-05:00,2025-12-02 11:26:00-05:00,2025-12-02 11:26:00-05:00,18.5,25444.05,,,0.578125,0,False,0.7540172100067138
2025-12-02,short,2025-12-02 11:27:00-05:00,25466.25,2025-12-02 11:32:00-05:00,25420.0,138.75,3,111.0,win,target_scale2,25484.75,25452.75,2025-12-02 11:26:00-05:00,2025-12-02 11:26:00-05:00,2025-12-02 11:26:00-05:00,18.5,25420.0,,,0.578125,0,False,0.7540172100067138
2025-12-02,short,2025-12-02 11:27:00-05:00,25466.25,2025-12-02 11:38:00-05:00,25484.75,-129.5,7,259.0,loss,stop,25484.75,25452.75,2025-12-02 11:26:00-05:00,2025-12-02 11:26:00-05:00,2025-12-02 11:26:00-05:00,18.5,25392.25,2025-12-02 11:38:00-05:00,25484.75,0.578125,0,False,0.7540172100067138
2025-12-02,long,2025-12-02 11:44:00-05:00,25507.0,2025-12-02 11:45:00-05:00,25488.5,-333.0,18,495.0,loss,stop,25493.25,25525.0,2025-12-02 11:43:00-05:00,2025-12-02 11:43:00-05:00,2025-12-02 11:44:00-05:00,13.75,25523.5,2025-12-02 11:45:00-05:00,25493.25,0.4330708661417323,0,False,0.6250240981578827
2025-12-02,long,2025-12-02 11:47:00-05:00,25508.25,2025-12-02 12:01:00-05:00,25533.25,225.0,9,468.0,forced_close,forced_close,25482.25,25525.0,2025-12-02 11:46:00-05:00,2025-12-02 11:46:00-05:00,2025-12-02 11:47:00-05:00,26.0,25539.45,,,0.6081871345029239,1,False,0.5891708314418793
