day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2024-01-02,short,short,2024-01-02 09:37:00-05:00,16824.25,2024-01-02 09:38:30-05:00,16802.5,565.5,13,474.5,win,target,16842.5,16826.25,2024-01-02 09:36:00-05:00,2024-01-02 09:36:00-05:00,2024-01-02 09:36:00-05:00,18.25,16802.25,,,1.1076923076923078,1,False,0.7354395627975464,False
2024-01-03,short,long,2024-01-03 09:38:00-05:00,16610.5,2024-01-03 09:39:00-05:00,16617.25,-580.5,43,494.5,win,target,16604.75,16632.75,2024-01-03 09:37:00-05:00,2024-01-03 09:37:00-05:00,2024-01-03 09:38:00-05:00,5.75,16617.5,,,0.19642857142857142,0,False,1.0,True
2024-01-03,long,long,2024-01-03 09:47:00-05:00,16628.25,2024-01-03 09:57:00-05:00,16606.75,-817.0,19,494.0,loss,stop,16615.25,16642.0,2024-01-03 09:46:00-05:00,2024-01-03 09:46:00-05:00,2024-01-03 09:47:00-05:00,13.0,16643.75,2024-01-03 09:57:00-05:00,16615.25,0.4766355140186916,0,False,0.6406431913375854,False
2024-01-03,long,long,2024-01-03 09:59:00-05:00,16611.0,2024-01-03 10:00:30-05:00,16631.75,581.0,14,490.0,win,target,16593.5,16642.0,2024-01-03 09:58:00-05:00,2024-01-03 09:58:00-05:00,2024-01-03 09:58:00-05:00,17.5,16632.0,,,0.3556701030927835,0,False,0.736195158958435,False
2024-01-03,long,long,2024-01-03 10:03:00-05:00,16632.0,2024-01-03 10:11:00-05:00,16595.0,-592.0,8,496.0,loss,stop,16601.0,16642.0,2024-01-03 10:02:00-05:00,2024-01-03 10:02:00-05:00,2024-01-03 10:02:00-05:00,31.0,16669.25,2024-01-03 10:11:00-05:00,16601.0,0.75,2,True,0.6760827541351319,False
2024-01-03,long,short,2024-01-03 10:30:00-05:00,16578.75,2024-01-03 10:37:30-05:00,16565.0,-577.5,21,493.5,win,target,16590.5,16556.75,2024-01-03 10:28:00-05:00,2024-01-03 10:28:00-05:00,2024-01-03 10:30:00-05:00,11.75,16564.75,,,0.34074074074074073,0,False,0.6406431913375854,True
2024-01-03,long,short,2024-01-03 11:00:00-05:00,16594.75,2024-01-03 11:00:00-05:00,16595.25,66.0,66,495.0,forced_close,forced_close,16598.5,16543.5,2024-01-03 10:59:00-05:00,2024-01-03 10:59:00-05:00,2024-01-03 11:00:00-05:00,3.75,16590.25,,,0.06363636363636363,1,False,0.6455031633377075,True
2024-01-04,long,long,2024-01-04 09:35:00-05:00,16480.5,2024-01-04 10:08:30-05:00,16507.5,540.0,10,455.0,win,target,16457.75,16488.75,2024-01-04 09:34:00-05:00,2024-01-04 09:34:00-05:00,2024-01-04 09:35:00-05:00,22.75,16507.75,,,0.7258064516129032,1,False,0.6827248334884644,False
2024-01-09,short,long,2024-01-09 09:37:00-05:00,16693.5,2024-01-09 09:43:00-05:00,16703.75,-574.0,28,490.0,win,target,16684.75,16714.5,2024-01-09 09:36:00-05:00,2024-01-09 09:36:00-05:00,2024-01-09 09:37:00-05:00,8.75,16704.0,,,0.2857142857142857,1,False,0.7514029264450073,True
2024-01-09,short,long,2024-01-09 10:06:00-05:00,16687.5,2024-01-09 10:06:30-05:00,16692.75,-577.5,55,495.0,win,target,16683.0,16712.25,2024-01-09 10:05:00-05:00,2024-01-09 10:05:00-05:00,2024-01-09 10:06:00-05:00,4.5,16693.0,,,0.1452991452991453,0,False,1.0,True
