day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-01-02,short,2025-01-02 09:54:00-05:00,21342.25,2025-01-02 09:55:00-05:00,21379.5,-558.75,15,472.5,loss,direction_flip,21358.0,21166.5,2025-01-02 09:53:00-05:00,2025-01-02 09:53:00-05:00,2025-01-02 09:54:00-05:00,15.75,21323.5,2025-01-02 09:55:00-05:00,21358.0,0.048302872062663184,0,False,0.40351527333259585
2025-01-02,short,2025-01-02 11:41:00-05:00,21319.5,2025-01-02 11:41:30-05:00,21312.0,67.5,9,117.0,win,target_scale1,21326.0,21186.0,2025-01-02 11:40:00-05:00,2025-01-02 11:40:00-05:00,2025-01-02 11:41:00-05:00,6.5,21311.75,,,0.05178571428571429,0,False,0.4319044232368469
2025-01-02,short,2025-01-02 11:41:00-05:00,21319.5,2025-01-02 11:43:30-05:00,21303.5,144.0,9,117.0,win,target_scale2,21326.0,21186.0,2025-01-02 11:40:00-05:00,2025-01-02 11:40:00-05:00,2025-01-02 11:41:00-05:00,6.5,21303.25,,,0.05178571428571429,0,False,0.4319044232368469
2025-01-02,short,2025-01-02 11:41:00-05:00,21319.5,2025-01-02 11:49:00-05:00,21340.5,-189.0,9,117.0,loss,stop,21326.0,21186.0,2025-01-02 11:40:00-05:00,2025-01-02 11:40:00-05:00,2025-01-02 11:41:00-05:00,6.5,21277.25,2025-01-02 11:49:00-05:00,21326.0,0.05178571428571429,0,False,0.4319044232368469
2025-01-02,short,2025-01-02 11:51:00-05:00,21335.75,2025-01-02 11:52:00-05:00,21355.5,-316.0,16,472.0,loss,direction_flip,21350.5,21186.0,2025-01-02 11:50:00-05:00,2025-01-02 11:50:00-05:00,2025-01-02 11:50:00-05:00,14.75,21318.25,2025-01-02 11:52:00-05:00,21350.5,0.044072948328267476,0,False,0.49420797228813174
2025-01-02,long,2025-01-02 11:54:00-05:00,21328.25,2025-01-02 11:55:00-05:00,21306.0,-712.0,32,496.0,loss,direction_flip,21320.5,21357.0,2025-01-02 11:53:00-05:00,2025-01-02 11:53:00-05:00,2025-01-02 11:54:00-05:00,7.75,21337.5,2025-01-02 11:55:00-05:00,21320.5,0.22602739726027396,1,False,0.42051527500152586
2025-01-02,short,2025-01-02 12:00:00-05:00,21315.5,2025-01-02 12:01:00-05:00,21306.25,175.75,19,494.0,forced_close,forced_close,21328.5,21288.75,2025-01-02 11:59:00-05:00,2025-01-02 11:59:00-05:00,2025-01-02 11:59:00-05:00,13.0,21300.0,,,0.3018867924528302,0,False,0.5041771471500397
2025-01-03,long,2025-01-03 09:53:00-05:00,21349.0,2025-01-03 10:00:30-05:00,21397.25,48.25,1,81.0,win,target_scale1,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,40.5,21397.5,,,0.251984126984127,1,False,0.5681906342506409
2025-01-03,long,2025-01-03 09:53:00-05:00,21349.0,2025-01-03 10:01:00-05:00,21429.75,161.5,2,162.0,win,target_scale2,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,40.5,21430.0,,,0.251984126984127,1,False,0.5681906342506409
2025-01-03,long,2025-01-03 09:53:00-05:00,21349.0,2025-01-03 10:21:00-05:00,21279.25,-209.25,3,243.0,loss,stop,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,40.5,21470.5,2025-01-03 10:21:00-05:00,21308.5,0.251984126984127,1,False,0.5681906342506409
2025-01-03,short,2025-01-03 10:24:00-05:00,21296.75,2025-01-03 10:25:00-05:00,21322.25,-637.5,25,500.0,loss,direction_flip,21306.75,21260.75,2025-01-03 10:23:00-05:00,2025-01-03 10:23:00-05:00,2025-01-03 10:24:00-05:00,10.0,21284.75,2025-01-03 10:25:00-05:00,21306.75,0.1956521739130435,0,False,0.42051527500152586
2025-01-03,long,2025-01-03 10:32:00-05:00,21319.5,2025-01-03 10:34:00-05:00,21346.5,54.0,2,91.0,win,target_scale1,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,22.75,21346.75,,,0.572972972972973,0,False,0.46996204257011415
2025-01-03,long,2025-01-03 10:32:00-05:00,21319.5,2025-01-03 10:36:00-05:00,21364.75,135.75,3,136.5,win,target_scale2,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,22.75,21365.0,,,0.572972972972973,0,False,0.46996204257011415
2025-01-03,long,2025-01-03 10:32:00-05:00,21319.5,2025-01-03 10:44:30-05:00,21387.5,340.0,5,227.5,win,target,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,22.75,21387.75,,,0.572972972972973,0,False,0.46996204257011415
2025-01-06,long,2025-01-06 09:37:00-05:00,21765.5,2025-01-06 09:37:30-05:00,21776.25,64.5,6,111.0,win,target_scale1,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,9.25,21776.5,,,0.58,0,False,0.7031181216239929
2025-01-06,long,2025-01-06 09:37:00-05:00,21765.5,2025-01-06 09:38:00-05:00,21788.25,136.5,6,111.0,win,target_scale2,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,9.25,21788.5,,,0.58,0,False,0.7031181216239929
