day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-01-03,long,2025-01-03 11:31:00-05:00,21437.5,2025-01-03 12:01:00-05:00,21471.5,34.0,1,281.5,forced_close,forced_close,21296.75,21343.0,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,2025-01-03 10:31:00-05:00,140.75,21606.4,,,3.0432432432432432,0,False,0.616045606136322
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:41:00-05:00,21804.1,52.19999999999709,2,87.0,win,target_scale1,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21804.1,,,0.58,0,False,0.7031181216239929
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:44:00-05:00,21821.5,130.5,3,130.5,win,target_scale2,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21821.5,,,0.58,0,False,0.7031181216239929
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.0,2025-01-06 09:54:00-05:00,21843.25,391.5,6,261.0,win,target,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,21.75,21843.25,,,0.58,0,False,0.7031181216239929
2025-01-07,short,2025-01-07 10:07:00-05:00,21608.5,2025-01-07 12:01:00-05:00,21447.5,161.0,1,373.0,forced_close,forced_close,21795.0,21695.0,2025-01-07 09:46:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:54:00-05:00,186.5,21384.7,,,1.865,1,False,0.616045606136322
2025-01-08,short,2025-01-08 09:44:00-05:00,21342.75,2025-01-08 09:44:30-05:00,21328.35,72.00000000000728,5,120.0,win,target_scale1,21354.75,21289.75,2025-01-08 09:42:00-05:00,2025-01-08 09:42:00-05:00,2025-01-08 09:43:00-05:00,12.0,21328.35,,,0.18461538461538463,0,False,0.701322603225708
2025-01-08,short,2025-01-08 09:44:00-05:00,21342.75,2025-01-08 09:45:00-05:00,21356.0,-66.25,5,120.0,loss,stop,21354.75,21289.75,2025-01-08 09:42:00-05:00,2025-01-08 09:42:00-05:00,2025-01-08 09:43:00-05:00,12.0,21312.75,2025-01-08 09:45:00-05:00,21354.75,0.18461538461538463,0,False,0.701322603225708
2025-01-08,long,2025-01-08 09:52:00-05:00,21378.0,2025-01-08 09:53:00-05:00,21320.75,-515.25,9,490.5,loss,direction_flip,21350.75,21381.75,2025-01-08 09:51:00-05:00,2025-01-08 09:51:00-05:00,2025-01-08 09:51:00-05:00,27.25,21410.7,2025-01-08 09:53:00-05:00,21350.75,0.8790322580645161,0,False,0.6177122712135314
2025-01-08,long,2025-01-08 10:03:00-05:00,21392.0,2025-01-08 10:09:00-05:00,21351.75,-241.5,6,432.0,loss,stop,21356.0,21379.25,2025-01-08 10:02:00-05:00,2025-01-08 10:02:00-05:00,2025-01-08 10:02:00-05:00,36.0,21435.2,2025-01-08 10:09:00-05:00,21356.0,1.5483870967741935,0,False,0.7352164149284363
2025-01-08,short,2025-01-08 10:42:00-05:00,21327.75,2025-01-08 10:43:00-05:00,21319.35,67.20000000001164,8,112.0,win,target_scale1,21334.75,21316.0,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,7.0,21319.35,,,0.37333333333333335,0,False,0.6759032130241394
