day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2025-01-02,long,2025-01-02 11:41:00-05:00,21318.5,2025-01-02 11:42:30-05:00,21309.75,-577.5,33,495.0,loss,target,21326.0,21186.0,2025-01-02 11:40:00-05:00,2025-01-02 11:40:00-05:00,2025-01-02 11:41:00-05:00,7.5,21309.5,,,0.0517857142857142,0,False,0.6866011619567871
2025-01-02,long,2025-01-02 11:50:00-05:00,21345.5,2025-01-02 11:50:30-05:00,21339.75,-575.0,50,500.0,loss,target,21350.5,21186.0,2025-01-02 11:49:00-05:00,2025-01-02 11:49:00-05:00,2025-01-02 11:50:00-05:00,5.0,21339.5,,,0.0288753799392097,1,False,0.8347118854522705
2025-01-03,long,2025-01-03 09:53:00-05:00,21340.5,2025-01-03 09:57:00-05:00,21378.75,535.5,7,448.0,win,target,21308.5,21434.5,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,2025-01-03 09:52:00-05:00,32.0,21379.0,,,0.251984126984127,1,False,0.6946566224098205
2025-01-03,long,2025-01-03 10:19:00-05:00,21315.25,2025-01-03 10:21:00-05:00,21279.25,-1008.0,14,490.0,loss,stop,21297.75,21440.75,2025-01-03 10:18:00-05:00,2025-01-03 10:18:00-05:00,2025-01-03 10:19:00-05:00,17.5,21336.25,2025-01-03 10:21:00-05:00,21297.75,0.1206293706293706,0,False,0.6718644142150879
2025-01-06,long,2025-01-06 09:37:00-05:00,21778.25,2025-01-06 09:41:00-05:00,21804.5,577.5,11,484.0,win,target,21756.25,21793.75,2025-01-06 09:36:00-05:00,2025-01-06 09:36:00-05:00,2025-01-06 09:37:00-05:00,22.0,21804.75,,,0.58,0,False,0.8161394596099854
2025-01-06,long,2025-01-06 09:46:00-05:00,21814.0,2025-01-06 10:22:30-05:00,21870.75,567.5,5,475.0,win,target,21766.5,21828.75,2025-01-06 09:45:00-05:00,2025-01-06 09:45:00-05:00,2025-01-06 09:45:00-05:00,47.5,21871.0,,,0.7590361445783133,0,False,0.7318032026290894
2025-01-07,long,2025-01-07 09:53:00-05:00,21790.5,2025-01-07 09:53:30-05:00,21788.0,-555.0,111,499.5,loss,target,21792.75,21695.0,2025-01-07 09:46:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:53:00-05:00,2.25,21787.75,,,0.0204603580562659,1,False,0.8827272772789001
2025-01-08,short,2025-01-08 09:43:00-05:00,21333.0,2025-01-08 09:45:00-05:00,21356.25,-511.5,11,478.5,loss,stop,21354.75,21289.75,2025-01-08 09:42:00-05:00,2025-01-08 09:42:00-05:00,2025-01-08 09:43:00-05:00,21.75,21307.0,2025-01-08 09:45:00-05:00,21354.75,0.3307692307692307,0,False,0.8161394596099854
2025-01-08,long,2025-01-08 09:49:00-05:00,21343.0,2025-01-08 09:50:00-05:00,21368.25,1060.5,21,483.0,win,direction_flip,21354.5,21303.5,2025-01-08 09:48:00-05:00,2025-01-08 09:48:00-05:00,2025-01-08 09:48:00-05:00,11.5,21329.25,2025-01-08 09:50:00-05:00,21354.5,0.2205882352941176,0,False,0.7103721857070923
2025-01-08,long,2025-01-08 09:52:00-05:00,21378.25,2025-01-08 09:53:00-05:00,21320.75,-1035.0,9,495.0,loss,direction_flip,21350.75,21381.75,2025-01-08 09:51:00-05:00,2025-01-08 09:51:00-05:00,2025-01-08 09:51:00-05:00,27.5,21411.25,2025-01-08 09:53:00-05:00,21350.75,0.8790322580645161,0,False,0.6463611900806427
2025-01-08,long,2025-01-08 10:00:00-05:00,21344.0,2025-01-08 10:01:00-05:00,21369.0,1100.0,22,484.0,win,direction_flip,21355.0,21285.0,2025-01-08 09:55:00-05:00,2025-01-08 09:55:00-05:00,2025-01-08 09:57:00-05:00,11.0,21330.75,2025-01-08 10:01:00-05:00,21355.0,0.1535714285714285,0,False,0.8411394596099854
