day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-02,long,2026-01-02 10:01:00-05:00,25766.5,2026-01-02 10:08:00-05:00,25708.0,-351.0,6,474.0,loss,stop,25727.0,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,39.5,25813.9,2026-01-02 10:08:00-05:00,25727.0,0.5163398692810458,1,False,0.5844428896903991
2026-01-05,short,2026-01-05 09:49:00-05:00,25575.75,2026-01-05 10:05:00-05:00,25634.5,-235.0,4,456.0,loss,stop,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,57.0,25507.35,2026-01-05 10:05:00-05:00,25632.75,0.6047745358090185,0,False,0.5276923239231109
2026-01-05,long,2026-01-05 10:32:00-05:00,25680.0,2026-01-05 10:38:00-05:00,25660.5,-351.0,18,486.0,loss,stop,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,13.5,25696.2,2026-01-05 10:38:00-05:00,25666.5,0.7714285714285715,0,False,0.6450776517391205
2026-01-05,long,2026-01-05 10:41:00-05:00,25668.25,2026-01-05 10:45:00-05:00,25641.25,-351.0,13,468.0,loss,stop,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,18.0,25689.85,2026-01-05 10:45:00-05:00,25650.25,0.5333333333333333,1,False,0.5828524172306061
2026-01-05,long,2026-01-05 10:53:00-05:00,25659.25,2026-01-05 11:00:00-05:00,25664.5,84.0,16,496.0,forced_close,forced_close,25643.75,25684.0,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,2026-01-05 10:51:00-05:00,15.5,25677.85,,,0.38509316770186336,0,False,0.6819695711135865
2026-01-07,long,2026-01-07 09:39:00-05:00,25819.25,2026-01-07 09:41:30-05:00,25845.65,52.80000000000291,2,88.0,win,target_scale1,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,22.0,25845.65,,,0.6197183098591549,0,False,0.5956271052360534
2026-01-07,long,2026-01-07 09:39:00-05:00,25819.25,2026-01-07 09:42:30-05:00,25863.25,132.0,3,132.0,win,target_scale2,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,22.0,25863.25,,,0.6197183098591549,0,False,0.5956271052360534
2026-01-07,long,2026-01-07 09:39:00-05:00,25819.25,2026-01-07 10:32:30-05:00,25885.25,396.0,6,264.0,win,target,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,22.0,25885.25,,,0.6197183098591549,0,False,0.5956271052360534
2026-01-08,short,2026-01-08 09:34:00-05:00,25731.75,2026-01-08 09:34:30-05:00,25693.35,38.400000000001455,1,64.0,win,target_scale1,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.0,25693.35,,,0.920863309352518,0,False,0.5844428896903991
2026-01-08,short,2026-01-08 09:34:00-05:00,25731.75,2026-01-08 09:40:30-05:00,25667.75,128.0,2,128.0,win,target_scale2,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.0,25667.75,,,0.920863309352518,0,False,0.5844428896903991
