day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2026-01-02,long,short,2026-01-02 09:47:00-05:00,25699.75,2026-01-02 09:48:00-05:00,25758.0,2796.0,24,492.0,loss,direction_flip,25710.0,25654.25,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:46:00-05:00,10.25,25687.5,2026-01-02 09:48:00-05:00,25710.0,0.17937219730941703,0,False,0.7525824189186097,True
2026-01-02,short,long,2026-01-02 10:06:00-05:00,25734.0,2026-01-02 10:08:00-05:00,25707.75,1365.0,26,494.0,loss,stop,25724.5,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:06:00-05:00,9.5,25745.5,2026-01-02 10:08:00-05:00,25724.5,0.11708860759493671,1,False,0.9786666631698608,True
2026-01-02,short,long,2026-01-02 10:11:00-05:00,25684.0,2026-01-02 10:12:00-05:00,25656.75,2997.5,55,495.0,loss,direction_flip,25679.5,25803.5,2026-01-02 10:10:00-05:00,2026-01-02 10:10:00-05:00,2026-01-02 10:11:00-05:00,4.5,25689.5,2026-01-02 10:12:00-05:00,25679.5,0.034274193548387094,0,False,0.7391181707382202,True
2026-01-05,long,short,2026-01-05 10:04:00-05:00,25621.25,2026-01-05 10:05:00-05:00,25634.75,567.0,21,483.0,loss,stop,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,11.5,25607.5,2026-01-05 10:05:00-05:00,25632.75,0.11936339522546419,0,False,0.7745671510696411,True
2026-01-05,long,short,2026-01-05 10:10:00-05:00,25647.0,2026-01-05 10:11:00-05:00,25641.75,-577.5,55,495.0,win,target,25651.5,25538.5,2026-01-05 10:06:00-05:00,2026-01-05 10:06:00-05:00,2026-01-05 10:10:00-05:00,4.5,25641.5,,,0.03761061946902655,0,False,0.9148991227149963,True
2026-01-05,long,short,2026-01-05 10:13:00-05:00,25632.75,2026-01-05 10:17:00-05:00,25650.5,710.0,20,480.0,loss,stop,25644.75,25538.5,2026-01-05 10:12:00-05:00,2026-01-05 10:12:00-05:00,2026-01-05 10:13:00-05:00,12.0,25618.25,2026-01-05 10:17:00-05:00,25644.75,0.11058823529411765,0,False,1.0,True
2026-01-05,long,short,2026-01-05 10:19:00-05:00,25654.5,2026-01-05 10:20:00-05:00,25662.0,555.0,37,499.5,loss,stop,25661.25,25538.5,2026-01-05 10:18:00-05:00,2026-01-05 10:18:00-05:00,2026-01-05 10:19:00-05:00,6.75,25646.5,2026-01-05 10:20:00-05:00,25661.25,0.05295315682281059,0,False,0.681536340713501,True
2026-01-05,long,short,2026-01-05 10:25:00-05:00,25662.0,2026-01-05 10:25:30-05:00,25659.75,-562.5,125,500.0,win,target,25664.0,25538.5,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,2026-01-05 10:25:00-05:00,2.0,25659.5,,,0.013944223107569721,0,False,0.9909090876579285,True
2026-01-05,short,long,2026-01-05 10:40:00-05:00,25655.25,2026-01-05 10:40:30-05:00,25661.0,-575.0,50,500.0,win,target,25650.25,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:40:00-05:00,5.0,25661.25,,,0.14074074074074075,0,False,0.8965240716934204,True
2026-01-06,long,short,2026-01-06 09:44:00-05:00,25640.25,2026-01-06 09:44:30-05:00,25636.0,-561.0,66,495.0,win,target,25644.0,25608.75,2026-01-06 09:43:00-05:00,2026-01-06 09:43:00-05:00,2026-01-06 09:44:00-05:00,3.75,25635.75,,,0.09929078014184398,0,False,0.6549289107322693,True
