day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-02,short,2026-01-02 09:36:30-05:00,25656.0,2026-01-02 09:37:00-05:00,25697.75,-292.25,7,469.0,loss,stop,25689.5,25654.25,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,33.5,25616.0,2026-01-02 09:37:00-05:00,25689.5,0.9361702127659575,0,False,0.7031181216239929
2026-01-02,short,2026-01-02 09:45:30-05:00,25690.75,2026-01-02 09:46:00-05:00,25697.25,-266.5,41,492.0,loss,stop,25696.75,25638.0,2026-01-02 09:44:00-05:00,2026-01-02 09:44:00-05:00,2026-01-02 09:45:00-05:00,6.0,25683.75,2026-01-02 09:46:00-05:00,25696.75,0.11063829787234042,0,False,0.4738486111164093
2026-01-02,long,2026-01-02 10:01:30-05:00,25766.75,2026-01-02 10:08:00-05:00,25707.75,-354.0,6,477.0,loss,stop,25727.0,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,39.75,25814.25,2026-01-02 10:08:00-05:00,25727.0,0.5163398692810458,1,False,0.590854161977768
2026-01-02,long,2026-01-02 10:11:30-05:00,25683.75,2026-01-02 10:12:00-05:00,25656.75,-1566.0,58,493.0,loss,direction_flip,25679.5,25803.5,2026-01-02 10:10:00-05:00,2026-01-02 10:10:00-05:00,2026-01-02 10:11:00-05:00,4.25,25688.75,2026-01-02 10:12:00-05:00,25679.5,0.034274193548387094,0,False,0.4755152761936188
2026-01-05,short,2026-01-05 09:47:30-05:00,25612.5,2026-01-05 09:47:30-05:00,25588.5,72.0,3,121.5,win,target_scale1,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,20.25,25588.25,,,0.20689655172413793,0,False,0.5860352575778961
2026-01-05,short,2026-01-05 09:47:30-05:00,25612.5,2026-01-05 09:48:30-05:00,25572.25,161.0,4,162.0,win,target_scale2,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,20.25,25572.0,,,0.20689655172413793,0,False,0.5860352575778961
2026-01-05,short,2026-01-05 09:47:30-05:00,25612.5,2026-01-05 10:05:00-05:00,25634.75,-111.25,5,202.5,loss,stop,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,20.25,25551.75,2026-01-05 10:05:00-05:00,25632.75,0.20689655172413793,0,False,0.5860352575778961
2026-01-05,short,2026-01-05 10:07:30-05:00,25620.5,2026-01-05 10:10:00-05:00,25647.5,-243.0,9,459.0,loss,stop,25646.0,25538.5,2026-01-05 10:06:00-05:00,2026-01-05 10:06:00-05:00,2026-01-05 10:07:00-05:00,25.5,25590.0,2026-01-05 10:10:00-05:00,25646.0,0.23488372093023255,0,False,0.533692193031311
2026-01-05,short,2026-01-05 10:13:30-05:00,25633.25,2026-01-05 10:17:00-05:00,25650.5,-362.25,21,483.0,loss,stop,25644.75,25538.5,2026-01-05 10:12:00-05:00,2026-01-05 10:12:00-05:00,2026-01-05 10:13:00-05:00,11.5,25619.5,2026-01-05 10:17:00-05:00,25644.75,0.11058823529411765,0,False,0.5039044260978699
2026-01-05,short,2026-01-05 10:19:30-05:00,25654.25,2026-01-05 10:20:00-05:00,25662.0,-271.25,35,490.0,loss,stop,25661.25,25538.5,2026-01-05 10:18:00-05:00,2026-01-05 10:18:00-05:00,2026-01-05 10:19:00-05:00,7.0,25646.0,2026-01-05 10:20:00-05:00,25661.25,0.05295315682281059,0,False,0.40351527333259585
2026-01-05,short,2026-01-05 10:23:30-05:00,25645.25,2026-01-05 10:28:00-05:00,25668.25,-299.0,13,474.5,loss,stop,25663.5,25538.5,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,18.25,25623.5,2026-01-05 10:28:00-05:00,25663.5,0.148,0,False,0.5039044260978699
2026-01-05,long,2026-01-05 10:31:30-05:00,25674.25,2026-01-05 10:32:30-05:00,25683.25,72.0,8,124.0,win,target_scale1,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.75,25683.5,,,0.42857142857142855,0,False,0.6198513150215149
2026-01-05,long,2026-01-05 10:31:30-05:00,25674.25,2026-01-05 10:38:00-05:00,25660.25,-112.0,8,124.0,loss,stop,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.75,25693.5,2026-01-05 10:38:00-05:00,25666.5,0.42857142857142855,0,False,0.6198513150215149
2026-01-05,long,2026-01-05 10:40:30-05:00,25655.25,2026-01-05 10:40:30-05:00,25661.0,69.0,12,120.0,win,target_scale1,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,5.0,25661.25,,,0.14074074074074075,0,False,0.4757879972457886
2026-01-05,long,2026-01-05 10:40:30-05:00,25655.25,2026-01-05 10:41:30-05:00,25667.5,147.0,12,120.0,win,target_scale2,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,5.0,25667.75,,,0.14074074074074075,0,False,0.4757879972457886
2026-01-05,long,2026-01-05 10:40:30-05:00,25655.25,2026-01-05 10:45:00-05:00,25641.0,-171.0,12,120.0,loss,stop,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,5.0,25675.25,2026-01-05 10:45:00-05:00,25650.25,0.14074074074074075,0,False,0.4757879972457886
2026-01-05,long,2026-01-05 10:50:30-05:00,25657.5,2026-01-05 10:56:30-05:00,25670.75,66.25,5,112.5,win,target_scale1,25646.25,25684.0,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,11.25,25671.0,,,0.2913907284768212,0,False,0.5446877002716064
2026-01-05,long,2026-01-05 10:50:30-05:00,25657.5,2026-01-05 11:00:00-05:00,25664.25,33.75,5,112.5,forced_close,forced_close,25646.25,25684.0,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,11.25,25685.5,,,0.2913907284768212,0,False,0.5446877002716064
2026-01-06,short,2026-01-06 09:44:30-05:00,25640.25,2026-01-06 09:45:00-05:00,25666.25,-1716.0,66,495.0,loss,stop,25644.0,25608.75,2026-01-06 09:43:00-05:00,2026-01-06 09:43:00-05:00,2026-01-06 09:44:00-05:00,3.75,25635.75,2026-01-06 09:45:00-05:00,25644.0,0.09929078014184398,0,False,0.5450482487678527
2026-01-07,long,2026-01-07 09:38:30-05:00,25807.25,2026-01-07 09:38:30-05:00,25819.0,70.5,6,120.0,win,target_scale1,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.0,25819.25,,,0.28169014084507044,0,False,0.6177122712135314
2026-01-07,long,2026-01-07 09:38:30-05:00,25807.25,2026-01-07 09:39:30-05:00,25832.0,148.5,6,120.0,win,target_scale2,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.0,25832.25,,,0.28169014084507044,0,False,0.6177122712135314
2026-01-07,long,2026-01-07 09:38:30-05:00,25807.25,2026-01-07 09:41:30-05:00,25847.0,238.5,6,120.0,win,target_scale3,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.0,25847.25,,,0.28169014084507044,0,False,0.6177122712135314
2026-01-07,long,2026-01-07 09:38:30-05:00,25807.25,2026-01-07 09:48:30-05:00,25871.0,446.25,7,140.0,win,target,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.0,25872.25,,,0.28169014084507044,0,False,0.6177122712135314
2026-01-08,short,2026-01-08 09:34:30-05:00,25731.25,2026-01-08 09:38:30-05:00,25692.5,38.75,1,65.0,win,target_scale1,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.5,25692.25,,,0.920863309352518,0,False,0.5351978361606597
2026-01-08,short,2026-01-08 09:34:30-05:00,25731.25,2026-01-08 09:40:30-05:00,25666.5,129.5,2,130.0,win,target_scale2,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.5,25666.25,,,0.920863309352518,0,False,0.5351978361606597
2026-01-08,short,2026-01-08 09:34:30-05:00,25731.25,2026-01-08 09:42:30-05:00,25634.0,389.0,4,260.0,win,target,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.5,25633.75,,,0.920863309352518,0,False,0.5351978361606597
2026-01-09,long,2026-01-09 09:50:30-05:00,25705.25,2026-01-09 09:53:30-05:00,25743.25,38.0,1,64.0,win,target_scale1,25673.25,25791.0,2026-01-09 09:49:00-05:00,2026-01-09 09:49:00-05:00,2026-01-09 09:50:00-05:00,32.0,25743.5,,,0.2760084925690021,1,False,0.5881743013858796
2026-01-09,long,2026-01-09 09:50:30-05:00,25705.25,2026-01-09 10:07:00-05:00,25671.75,-67.0,2,128.0,loss,stop,25673.25,25791.0,2026-01-09 09:49:00-05:00,2026-01-09 09:49:00-05:00,2026-01-09 09:50:00-05:00,32.0,25769.25,2026-01-09 10:07:00-05:00,25673.25,0.2760084925690021,1,False,0.5881743013858796
2026-01-09,short,2026-01-09 10:12:30-05:00,25675.5,2026-01-09 10:13:00-05:00,25724.5,-1225.0,25,500.0,loss,direction_flip,25685.5,25615.75,2026-01-09 10:11:00-05:00,2026-01-09 10:11:00-05:00,2026-01-09 10:12:00-05:00,10.0,25663.5,2026-01-09 10:13:00-05:00,25685.5,0.15053763440860216,0,False,0.42051527500152586
2026-01-13,long,2026-01-13 09:39:30-05:00,25977.75,2026-01-13 09:39:30-05:00,25999.0,63.75,3,108.0,win,target_scale1,25959.75,25996.75,2026-01-13 09:38:00-05:00,2026-01-13 09:38:00-05:00,2026-01-13 09:38:00-05:00,18.0,25999.25,,,0.4527027027027027,0,False,0.5323837339878082
2026-01-13,long,2026-01-13 09:39:30-05:00,25977.75,2026-01-13 09:40:30-05:00,26022.5,134.25,3,108.0,win,target_scale2,25959.75,25996.75,2026-01-13 09:38:00-05:00,2026-01-13 09:38:00-05:00,2026-01-13 09:38:00-05:00,18.0,26022.75,,,0.4527027027027027,0,False,0.5323837339878082
2026-01-13,long,2026-01-13 09:39:30-05:00,25977.75,2026-01-13 09:52:00-05:00,25944.5,-99.75,3,108.0,loss,stop,25959.75,25996.75,2026-01-13 09:38:00-05:00,2026-01-13 09:38:00-05:00,2026-01-13 09:38:00-05:00,18.0,26049.75,2026-01-13 09:52:00-05:00,25959.75,0.4527027027027027,0,False,0.5323837339878082
2026-01-13,long,2026-01-13 09:56:30-05:00,25961.25,2026-01-13 09:56:30-05:00,25972.0,64.5,6,111.0,win,target_scale1,25952.0,25996.75,2026-01-13 09:55:00-05:00,2026-01-13 09:55:00-05:00,2026-01-13 09:55:00-05:00,9.25,25972.25,,,0.2011173184357542,1,False,0.5591771483421326
2026-01-13,long,2026-01-13 09:56:30-05:00,25961.25,2026-01-13 10:00:00-05:00,25946.75,-87.0,6,111.0,loss,stop,25952.0,25996.75,2026-01-13 09:55:00-05:00,2026-01-13 09:55:00-05:00,2026-01-13 09:55:00-05:00,9.25,25984.25,2026-01-13 10:00:00-05:00,25952.0,0.2011173184357542,1,False,0.5591771483421326
2026-01-13,short,2026-01-13 10:06:30-05:00,25947.5,2026-01-13 10:06:30-05:00,25935.5,72.0,6,123.0,win,target_scale1,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,10.25,25935.25,,,0.14942528735632185,0,False,0.5307879984378815
2026-01-13,short,2026-01-13 10:06:30-05:00,25947.5,2026-01-13 10:09:30-05:00,25922.25,151.5,6,123.0,win,target_scale2,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,10.25,25922.0,,,0.14942528735632185,0,False,0.5307879984378815
2026-01-13,short,2026-01-13 10:06:30-05:00,25947.5,2026-01-13 10:11:30-05:00,25906.75,244.5,6,123.0,win,target_scale3,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,10.25,25906.5,,,0.14942528735632185,0,False,0.5307879984378815
2026-01-13,short,2026-01-13 10:06:30-05:00,25947.5,2026-01-13 10:18:30-05:00,25881.25,397.5,6,123.0,win,target,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,10.25,25881.0,,,0.14942528735632185,0,False,0.5307879984378815
2026-01-14,short,2026-01-14 09:40:30-05:00,25696.75,2026-01-14 09:41:30-05:00,25662.5,68.5,2,115.0,win,target_scale1,25725.5,25695.0,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,28.75,25662.25,,,0.9590163934426229,0,False,0.6198513150215149
