day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-02,short,2026-01-02 09:36:00-05:00,25656.5,2026-01-02 09:37:00-05:00,25697.5,-287.0,7,462.0,loss,stop,25689.5,25654.25,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,33.0,25616.9,2026-01-02 09:37:00-05:00,25689.5,0.9361702127659575,0,False,0.7031181216239929
2026-01-02,short,2026-01-02 09:45:00-05:00,25690.25,2026-01-02 09:45:30-05:00,25682.45,70.19999999999345,9,117.0,win,target_scale1,25696.75,25638.0,2026-01-02 09:44:00-05:00,2026-01-02 09:44:00-05:00,2026-01-02 09:45:00-05:00,6.5,25682.45,,,0.11063829787234042,0,False,0.4738486111164093
2026-01-02,short,2026-01-02 09:45:00-05:00,25690.25,2026-01-02 09:46:00-05:00,25697.0,-60.75,9,117.0,loss,stop,25696.75,25638.0,2026-01-02 09:44:00-05:00,2026-01-02 09:44:00-05:00,2026-01-02 09:45:00-05:00,6.5,25674.0,2026-01-02 09:46:00-05:00,25696.75,0.11063829787234042,0,False,0.4738486111164093
2026-01-02,long,2026-01-02 10:01:00-05:00,25766.5,2026-01-02 10:08:00-05:00,25708.0,-351.0,6,474.0,loss,stop,25727.0,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,39.5,25813.9,2026-01-02 10:08:00-05:00,25727.0,0.5163398692810458,1,False,0.590854161977768
2026-01-02,long,2026-01-02 10:11:00-05:00,25683.75,2026-01-02 10:11:30-05:00,25688.85,71.39999999997963,14,119.0,win,target_scale1,25679.5,25803.5,2026-01-02 10:10:00-05:00,2026-01-02 10:10:00-05:00,2026-01-02 10:11:00-05:00,4.25,25688.85,,,0.034274193548387094,0,False,0.4755152761936188
2026-01-02,long,2026-01-02 10:11:00-05:00,25683.75,2026-01-02 10:12:00-05:00,25656.75,-378.0,14,119.0,loss,direction_flip,25679.5,25803.5,2026-01-02 10:10:00-05:00,2026-01-02 10:10:00-05:00,2026-01-02 10:11:00-05:00,4.25,25694.375,2026-01-02 10:12:00-05:00,25679.5,0.034274193548387094,0,False,0.4755152761936188
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.25,2026-01-05 09:47:30-05:00,25589.85,70.20000000000437,3,117.0,win,target_scale1,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.5,25589.85,,,0.20689655172413793,0,False,0.5860352575778961
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.25,2026-01-05 09:48:30-05:00,25574.25,156.0,4,156.0,win,target_scale2,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.5,25574.25,,,0.20689655172413793,0,False,0.5860352575778961
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.25,2026-01-05 10:05:00-05:00,25634.5,-106.25,5,195.0,loss,stop,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.5,25554.75,2026-01-05 10:05:00-05:00,25632.75,0.20689655172413793,0,False,0.5860352575778961
2026-01-05,short,2026-01-05 10:07:00-05:00,25620.75,2026-01-05 10:10:00-05:00,25647.25,-238.5,9,454.5,loss,stop,25646.0,25538.5,2026-01-05 10:06:00-05:00,2026-01-05 10:06:00-05:00,2026-01-05 10:07:00-05:00,25.25,25590.45,2026-01-05 10:10:00-05:00,25646.0,0.23488372093023255,0,False,0.533692193031311
2026-01-05,short,2026-01-05 10:13:00-05:00,25633.0,2026-01-05 10:17:00-05:00,25650.25,-362.25,21,493.5,loss,stop,25644.75,25538.5,2026-01-05 10:12:00-05:00,2026-01-05 10:12:00-05:00,2026-01-05 10:13:00-05:00,11.75,25618.9,2026-01-05 10:17:00-05:00,25644.75,0.11058823529411765,0,False,0.5039044260978699
2026-01-05,short,2026-01-05 10:19:00-05:00,25654.75,2026-01-05 10:20:00-05:00,25661.75,-266.0,38,494.0,loss,stop,25661.25,25538.5,2026-01-05 10:18:00-05:00,2026-01-05 10:18:00-05:00,2026-01-05 10:19:00-05:00,6.5,25646.95,2026-01-05 10:20:00-05:00,25661.25,0.05295315682281059,0,False,0.40351527333259585
2026-01-05,short,2026-01-05 10:23:00-05:00,25645.0,2026-01-05 10:28:00-05:00,25668.25,-302.25,13,481.0,loss,stop,25663.5,25538.5,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,18.5,25622.8,2026-01-05 10:28:00-05:00,25663.5,0.148,0,False,0.5039044260978699
2026-01-05,long,2026-01-05 10:31:00-05:00,25674.0,2026-01-05 10:32:30-05:00,25683.0,72.0,8,120.0,win,target_scale1,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.5,25683.0,,,0.42857142857142855,0,False,0.6198513150215149
2026-01-05,long,2026-01-05 10:31:00-05:00,25674.0,2026-01-05 10:38:00-05:00,25660.5,-108.0,8,120.0,loss,stop,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.5,25692.75,2026-01-05 10:38:00-05:00,25666.5,0.42857142857142855,0,False,0.6198513150215149
2026-01-05,long,2026-01-05 10:40:00-05:00,25655.0,2026-01-05 10:40:30-05:00,25660.7,74.10000000000946,13,123.5,win,target_scale1,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,4.75,25660.7,,,0.14074074074074075,0,False,0.4757879972457886
2026-01-05,long,2026-01-05 10:40:00-05:00,25655.0,2026-01-05 10:41:30-05:00,25666.875,154.375,13,123.5,win,target_scale2,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,4.75,25666.875,,,0.14074074074074075,0,False,0.4757879972457886
2026-01-05,long,2026-01-05 10:40:00-05:00,25655.0,2026-01-05 10:45:00-05:00,25641.25,-178.75,13,123.5,loss,stop,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,4.75,25674.0,2026-01-05 10:45:00-05:00,25650.25,0.14074074074074075,0,False,0.4757879972457886
2026-01-05,long,2026-01-05 10:50:00-05:00,25657.25,2026-01-05 10:56:30-05:00,25670.45,66.00000000000364,5,110.0,win,target_scale1,25646.25,25684.0,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,11.0,25670.45,,,0.2913907284768212,0,False,0.5446877002716064
2026-01-05,long,2026-01-05 10:50:00-05:00,25657.25,2026-01-05 11:00:00-05:00,25664.5,36.25,5,110.0,forced_close,forced_close,25646.25,25684.0,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,11.0,25684.75,,,0.2913907284768212,0,False,0.5446877002716064
2026-01-06,short,2026-01-06 09:44:00-05:00,25640.5,2026-01-06 09:44:30-05:00,25636.3,71.40000000001237,17,119.0,win,target_scale1,25644.0,25608.75,2026-01-06 09:43:00-05:00,2026-01-06 09:43:00-05:00,2026-01-06 09:44:00-05:00,3.5,25636.3,,,0.09929078014184398,0,False,0.5450482487678527
2026-01-06,short,2026-01-06 09:44:00-05:00,25640.5,2026-01-06 09:45:00-05:00,25666.25,-437.75,17,119.0,loss,stop,25644.0,25608.75,2026-01-06 09:43:00-05:00,2026-01-06 09:43:00-05:00,2026-01-06 09:44:00-05:00,3.5,25631.75,2026-01-06 09:45:00-05:00,25644.0,0.09929078014184398,0,False,0.5450482487678527
2026-01-07,long,2026-01-07 09:38:00-05:00,25807.25,2026-01-07 09:38:30-05:00,25819.25,72.0,6,120.0,win,target_scale1,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.0,25819.25,,,0.28169014084507044,0,False,0.6177122712135314
2026-01-07,long,2026-01-07 09:38:00-05:00,25807.25,2026-01-07 09:39:30-05:00,25832.25,150.0,6,120.0,win,target_scale2,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.0,25832.25,,,0.28169014084507044,0,False,0.6177122712135314
2026-01-07,long,2026-01-07 09:38:00-05:00,25807.25,2026-01-07 09:41:30-05:00,25847.25,240.0,6,120.0,win,target_scale3,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.0,25847.25,,,0.28169014084507044,0,False,0.6177122712135314
2026-01-07,long,2026-01-07 09:38:00-05:00,25807.25,2026-01-07 09:48:30-05:00,25872.25,455.0,7,140.0,win,target,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.0,25872.25,,,0.28169014084507044,0,False,0.6177122712135314
2026-01-08,short,2026-01-08 09:34:00-05:00,25731.75,2026-01-08 09:34:30-05:00,25693.35,38.400000000001455,1,64.0,win,target_scale1,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.0,25693.35,,,0.920863309352518,0,False,0.5351978361606597
2026-01-08,short,2026-01-08 09:34:00-05:00,25731.75,2026-01-08 09:40:30-05:00,25667.75,128.0,2,128.0,win,target_scale2,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.0,25667.75,,,0.920863309352518,0,False,0.5351978361606597
2026-01-08,short,2026-01-08 09:34:00-05:00,25731.75,2026-01-08 09:42:30-05:00,25635.75,384.0,4,256.0,win,target,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.0,25635.75,,,0.920863309352518,0,False,0.5351978361606597
2026-01-09,long,2026-01-09 09:50:00-05:00,25705.75,2026-01-09 09:53:30-05:00,25744.75,39.0,1,65.0,win,target_scale1,25673.25,25791.0,2026-01-09 09:49:00-05:00,2026-01-09 09:49:00-05:00,2026-01-09 09:50:00-05:00,32.5,25744.75,,,0.2760084925690021,1,False,0.5881743013858796
2026-01-09,long,2026-01-09 09:50:00-05:00,25705.75,2026-01-09 10:07:00-05:00,25672.0,-67.5,2,130.0,loss,stop,25673.25,25791.0,2026-01-09 09:49:00-05:00,2026-01-09 09:49:00-05:00,2026-01-09 09:50:00-05:00,32.5,25770.75,2026-01-09 10:07:00-05:00,25673.25,0.2760084925690021,1,False,0.5881743013858796
2026-01-09,short,2026-01-09 10:12:00-05:00,25675.0,2026-01-09 10:12:30-05:00,25662.4,62.999999999992724,5,105.0,win,target_scale1,25685.5,25615.75,2026-01-09 10:11:00-05:00,2026-01-09 10:11:00-05:00,2026-01-09 10:12:00-05:00,10.5,25662.4,,,0.15053763440860216,0,False,0.42051527500152586
