day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-02,long,2026-01-02 10:03:00-05:00,25770.25,2026-01-02 10:08:00-05:00,25708.0,-311.25,5,432.5,loss,stop,25727.0,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,43.25,25822.15,2026-01-02 10:08:00-05:00,25727.0,0.565359477124183,1,False,0.6177122712135314
2026-01-05,long,2026-01-05 10:31:00-05:00,25674.0,2026-01-05 10:32:30-05:00,25683.0,72.0,8,120.0,win,target_scale1,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.5,25683.0,,,0.42857142857142855,0,False,0.6198513150215149
2026-01-05,long,2026-01-05 10:31:00-05:00,25674.0,2026-01-05 10:38:00-05:00,25660.5,-108.0,8,120.0,loss,stop,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,7.5,25692.75,2026-01-05 10:38:00-05:00,25666.5,0.42857142857142855,0,False,0.6198513150215149
2026-01-07,long,2026-01-07 09:39:00-05:00,25819.25,2026-01-07 09:41:30-05:00,25845.65,52.80000000000291,2,88.0,win,target_scale1,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,22.0,25845.65,,,0.6197183098591549,0,False,0.6198513150215149
2026-01-07,long,2026-01-07 09:39:00-05:00,25819.25,2026-01-07 09:42:30-05:00,25863.25,132.0,3,132.0,win,target_scale2,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,22.0,25863.25,,,0.6197183098591549,0,False,0.6198513150215149
2026-01-07,long,2026-01-07 09:39:00-05:00,25819.25,2026-01-07 10:32:30-05:00,25885.25,396.0,6,264.0,win,target,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,22.0,25885.25,,,0.6197183098591549,0,False,0.6198513150215149
2026-01-14,short,2026-01-14 09:40:00-05:00,25696.25,2026-01-14 09:41:30-05:00,25661.15,70.19999999999709,2,117.0,win,target_scale1,25725.5,25695.0,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,29.25,25661.15,,,0.9590163934426229,0,False,0.6198513150215149
2026-01-14,short,2026-01-14 09:40:00-05:00,25696.25,2026-01-14 09:43:30-05:00,25637.75,117.0,2,117.0,win,target_scale2,25725.5,25695.0,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,29.25,25637.75,,,0.9590163934426229,0,False,0.6198513150215149
2026-01-14,short,2026-01-14 09:40:00-05:00,25696.25,2026-01-14 09:55:30-05:00,25608.5,351.0,4,234.0,win,target,25725.5,25695.0,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,29.25,25608.5,,,0.9590163934426229,0,False,0.6198513150215149
2026-01-16,short,2026-01-16 09:48:00-05:00,25828.5,2026-01-16 09:53:30-05:00,25799.1,58.80000000000291,2,98.0,win,target_scale1,25853.0,25813.0,2026-01-16 09:46:00-05:00,2026-01-16 09:46:00-05:00,2026-01-16 09:46:00-05:00,24.5,25799.1,,,0.6125,0,False,0.6611013174057007
