day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-02,short,2026-01-02 09:36:00-05:00,25656.5,2026-01-02 09:37:00-05:00,25697.5,-287.0,7,462.0,loss,stop,25689.5,25654.25,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,33.0,25616.9,2026-01-02 09:37:00-05:00,25689.5,0.9361702127659575,0,False,0.9636363625526428
2026-01-02,long,2026-01-02 10:01:00-05:00,25766.5,2026-01-02 10:08:00-05:00,25708.0,-351.0,6,474.0,loss,stop,25727.0,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,39.5,25813.9,2026-01-02 10:08:00-05:00,25727.0,0.5163398692810458,1,False,0.8522077918052673
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.25,2026-01-05 09:47:30-05:00,25589.85,70.20000000000437,3,117.0,win,target_scale1,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.5,25589.85,,,0.20689655172413793,0,False,0.6280909359455109
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.25,2026-01-05 09:48:30-05:00,25574.25,156.0,4,156.0,win,target_scale2,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.5,25574.25,,,0.20689655172413793,0,False,0.6280909359455109
2026-01-05,short,2026-01-05 09:47:00-05:00,25613.25,2026-01-05 10:05:00-05:00,25634.5,-106.25,5,195.0,loss,stop,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.5,25554.75,2026-01-05 10:05:00-05:00,25632.75,0.20689655172413793,0,False,0.6280909359455109
2026-01-05,short,2026-01-05 10:07:00-05:00,25620.75,2026-01-05 10:10:00-05:00,25647.25,-238.5,9,454.5,loss,stop,25646.0,25538.5,2026-01-05 10:06:00-05:00,2026-01-05 10:06:00-05:00,2026-01-05 10:07:00-05:00,25.25,25590.45,2026-01-05 10:10:00-05:00,25646.0,0.23488372093023255,0,False,0.610809189081192
2026-01-05,short,2026-01-05 10:13:00-05:00,25633.0,2026-01-05 10:17:00-05:00,25650.25,-362.25,21,493.5,loss,stop,25644.75,25538.5,2026-01-05 10:12:00-05:00,2026-01-05 10:12:00-05:00,2026-01-05 10:13:00-05:00,11.75,25618.9,2026-01-05 10:17:00-05:00,25644.75,0.11058823529411765,0,False,0.6900855422019958
2026-01-05,long,2026-01-05 10:32:00-05:00,25680.0,2026-01-05 10:38:00-05:00,25660.5,-351.0,18,486.0,loss,stop,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,13.5,25696.2,2026-01-05 10:38:00-05:00,25666.5,0.7714285714285715,0,False,0.6906004786491394
2026-01-05,long,2026-01-05 10:42:00-05:00,25660.75,2026-01-05 10:45:00-05:00,25641.25,-448.5,23,483.0,loss,stop,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,10.5,25673.35,2026-01-05 10:45:00-05:00,25650.25,0.3111111111111111,1,False,0.6834636211395264
2026-01-05,long,2026-01-05 10:50:00-05:00,25657.25,2026-01-05 10:56:30-05:00,25670.45,66.00000000000364,5,110.0,win,target_scale1,25646.25,25684.0,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,2026-01-05 10:49:00-05:00,11.0,25670.45,,,0.2913907284768212,0,False,0.6492994070053101
