day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-02,short,2026-01-02 09:36:00-05:00,25656.5,2026-01-02 09:37:00-05:00,25697.5,-287.0,7,462.0,loss,stop,25689.5,25654.25,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,33.0,25616.9,2026-01-02 09:37:00-05:00,25689.5,0.9361702127659575,0,False,0.9636363625526428
2026-01-02,long,2026-01-02 10:01:00-05:00,25766.5,2026-01-02 10:08:00-05:00,25708.0,-351.0,6,474.0,loss,stop,25727.0,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,39.5,25813.9,2026-01-02 10:08:00-05:00,25727.0,0.5163398692810458,1,False,0.8522077918052673
2026-01-05,long,2026-01-05 10:32:00-05:00,25680.0,2026-01-05 10:38:00-05:00,25660.5,-351.0,18,486.0,loss,stop,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,13.5,25696.2,2026-01-05 10:38:00-05:00,25666.5,0.7714285714285715,0,False,0.6906004786491394
2026-01-07,long,2026-01-07 09:40:00-05:00,25835.25,2026-01-07 10:32:30-05:00,25880.85,45.599999999998545,1,76.0,win,target_scale1,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,38.0,25880.85,,,1.0704225352112675,0,False,0.6871377468109131
2026-01-07,long,2026-01-07 09:40:00-05:00,25835.25,2026-01-07 10:53:30-05:00,25911.25,152.0,2,152.0,win,target_scale2,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,38.0,25911.25,,,1.0704225352112675,0,False,0.6871377468109131
2026-01-07,long,2026-01-07 09:40:00-05:00,25835.25,2026-01-07 11:00:00-05:00,25905.25,210.0,3,228.0,forced_close,forced_close,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,38.0,25949.25,,,1.0704225352112675,0,False,0.6871377468109131
2026-01-13,long,2026-01-13 09:45:00-05:00,25990.75,2026-01-13 09:52:00-05:00,25944.75,-368.0,8,472.0,loss,stop,25961.25,26043.0,2026-01-13 09:44:00-05:00,2026-01-13 09:44:00-05:00,2026-01-13 09:44:00-05:00,29.5,26026.15,2026-01-13 09:52:00-05:00,25961.25,0.36085626911314983,1,False,0.5219703853130341
2026-01-13,short,2026-01-13 10:08:00-05:00,25934.5,2026-01-13 10:11:30-05:00,25906.6,55.80000000000291,2,93.0,win,target_scale1,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,23.25,25906.6,,,0.3563218390804598,0,False,0.5803410291671753
2026-01-13,short,2026-01-13 10:08:00-05:00,25934.5,2026-01-13 10:15:30-05:00,25888.0,139.5,3,139.5,win,target_scale2,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,23.25,25888.0,,,0.3563218390804598,0,False,0.5803410291671753
2026-01-13,short,2026-01-13 10:08:00-05:00,25934.5,2026-01-13 10:18:30-05:00,25864.75,348.75,5,232.5,win,target,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,23.25,25864.75,,,0.3563218390804598,0,False,0.5803410291671753
