day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-03-03,long,2026-03-03 09:41:30-05:00,24599.25,2026-03-03 09:42:00-05:00,24560.0,-274.75,7,451.5,loss,stop,24567.0,24661.0,2026-03-03 09:40:00-05:00,2026-03-03 09:40:00-05:00,2026-03-03 09:41:00-05:00,32.25,24637.75,2026-03-03 09:42:00-05:00,24567.0,0.3351063829787234,0,False,0.5719318211078643
2026-03-03,long,2026-03-03 09:44:30-05:00,24549.75,2026-03-03 09:46:00-05:00,24571.5,65.25,3,111.0,win,target_scale1,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.5,24571.75,,,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,long,2026-03-03 09:44:30-05:00,24549.75,2026-03-03 09:46:30-05:00,24595.75,138.0,3,111.0,win,target_scale2,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.5,24596.0,,,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,long,2026-03-03 09:44:30-05:00,24549.75,2026-03-03 09:49:00-05:00,24521.5,-84.75,3,111.0,loss,stop,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.5,24623.75,2026-03-03 09:49:00-05:00,24531.25,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,short,2026-03-03 09:52:30-05:00,24527.75,2026-03-03 09:59:30-05:00,24481.0,46.75,1,78.5,win,target_scale1,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.25,24480.75,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,short,2026-03-03 09:52:30-05:00,24527.75,2026-03-03 10:18:00-05:00,24449.5,156.5,2,157.0,win,target_scale2,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.25,24449.25,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,short,2026-03-03 09:52:30-05:00,24527.75,2026-03-03 10:21:30-05:00,24410.25,352.5,3,235.5,win,target,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.25,24410.0,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,short,2026-03-03 11:07:30-05:00,24555.75,2026-03-03 11:09:00-05:00,24581.25,-357.0,14,483.0,loss,stop,24573.0,24350.75,2026-03-03 11:05:00-05:00,2026-03-03 11:05:00-05:00,2026-03-03 11:07:00-05:00,17.25,24535.25,2026-03-03 11:09:00-05:00,24573.0,0.07761529808773904,2,False,0.45048020631074903
2026-03-03,short,2026-03-03 11:15:30-05:00,24572.5,2026-03-03 11:16:00-05:00,24595.75,-325.5,14,490.0,loss,stop,24590.0,24350.75,2026-03-03 11:14:00-05:00,2026-03-03 11:14:00-05:00,2026-03-03 11:14:00-05:00,17.5,24551.5,2026-03-03 11:16:00-05:00,24590.0,0.07314524555903866,1,False,0.4211295932531357
2026-03-03,short,2026-03-03 11:18:30-05:00,24601.5,2026-03-03 11:19:30-05:00,24592.75,70.0,8,120.0,win,target_scale1,24609.0,24350.75,2026-03-03 11:17:00-05:00,2026-03-03 11:17:00-05:00,2026-03-03 11:18:00-05:00,7.5,24592.5,,,0.026137463697967087,0,False,0.40351527333259585
2026-03-03,short,2026-03-03 11:18:30-05:00,24601.5,2026-03-03 11:20:00-05:00,24583.0,148.0,8,120.0,win,target_scale2,24609.0,24350.75,2026-03-03 11:17:00-05:00,2026-03-03 11:17:00-05:00,2026-03-03 11:18:00-05:00,7.5,24582.75,,,0.026137463697967087,0,False,0.40351527333259585
2026-03-03,short,2026-03-03 11:18:30-05:00,24601.5,2026-03-03 11:20:30-05:00,24571.75,238.0,8,120.0,win,target_scale3,24609.0,24350.75,2026-03-03 11:17:00-05:00,2026-03-03 11:17:00-05:00,2026-03-03 11:18:00-05:00,7.5,24571.5,,,0.026137463697967087,0,False,0.40351527333259585
2026-03-03,short,2026-03-03 11:18:30-05:00,24601.5,2026-03-03 11:24:00-05:00,24620.25,-168.75,9,135.0,loss,direction_flip,24609.0,24350.75,2026-03-03 11:17:00-05:00,2026-03-03 11:17:00-05:00,2026-03-03 11:18:00-05:00,7.5,24552.75,2026-03-03 11:24:00-05:00,24609.0,0.026137463697967087,0,False,0.40351527333259585
2026-03-03,long,2026-03-03 11:32:30-05:00,24587.0,2026-03-03 11:33:00-05:00,24577.0,-470.0,47,493.5,loss,stop,24581.75,24642.5,2026-03-03 11:31:00-05:00,2026-03-03 11:31:00-05:00,2026-03-03 11:32:00-05:00,5.25,24593.25,2026-03-03 11:33:00-05:00,24581.75,0.0823045267489712,0,False,0.6016813576221466
2026-03-03,long,2026-03-03 11:35:30-05:00,24608.75,2026-03-03 11:46:00-05:00,24663.25,54.5,1,91.5,win,target_scale1,24563.0,24642.5,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,45.75,24663.5,,,0.5723270440251572,1,False,0.6618681192398072
2026-03-03,long,2026-03-03 11:35:30-05:00,24608.75,2026-03-03 11:47:00-05:00,24700.0,91.25,1,91.5,win,target_scale2,24563.0,24642.5,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,45.75,24700.25,,,0.5723270440251572,1,False,0.6618681192398072
2026-03-03,long,2026-03-03 11:35:30-05:00,24608.75,2026-03-03 12:00:00-05:00,24680.0,213.75,3,274.5,forced_close,forced_close,24563.0,24642.5,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,45.75,24746.0,,,0.5723270440251572,1,False,0.6618681192398072
2026-03-04,long,2026-03-04 09:37:30-05:00,24885.0,2026-03-04 09:38:00-05:00,24906.75,65.25,3,111.0,win,target_scale1,24866.5,24970.5,2026-03-04 09:36:00-05:00,2026-03-04 09:36:00-05:00,2026-03-04 09:37:00-05:00,18.5,24907.0,,,0.16826923076923078,1,False,0.5318453907966614
2026-03-04,long,2026-03-04 09:37:30-05:00,24885.0,2026-03-04 09:41:00-05:00,24863.5,-64.5,3,111.0,loss,stop,24866.5,24970.5,2026-03-04 09:36:00-05:00,2026-03-04 09:36:00-05:00,2026-03-04 09:37:00-05:00,18.5,24931.25,2026-03-04 09:41:00-05:00,24866.5,0.16826923076923078,1,False,0.5318453907966614
2026-03-04,long,2026-03-04 09:43:30-05:00,24847.25,2026-03-04 09:43:30-05:00,24853.75,65.0,10,115.0,win,target_scale1,24841.5,24970.5,2026-03-04 09:42:00-05:00,2026-03-04 09:42:00-05:00,2026-03-04 09:43:00-05:00,5.75,24854.0,,,0.04844961240310078,0,False,0.43005373477935793
2026-03-04,long,2026-03-04 09:43:30-05:00,24847.25,2026-03-04 09:44:00-05:00,24861.25,140.0,10,115.0,win,target_scale2,24841.5,24970.5,2026-03-04 09:42:00-05:00,2026-03-04 09:42:00-05:00,2026-03-04 09:43:00-05:00,5.75,24861.5,,,0.04844961240310078,0,False,0.43005373477935793
2026-03-04,long,2026-03-04 09:43:30-05:00,24847.25,2026-03-04 09:44:30-05:00,24870.0,227.5,10,115.0,win,target_scale3,24841.5,24970.5,2026-03-04 09:42:00-05:00,2026-03-04 09:42:00-05:00,2026-03-04 09:43:00-05:00,5.75,24870.25,,,0.04844961240310078,0,False,0.43005373477935793
2026-03-04,long,2026-03-04 09:43:30-05:00,24847.25,2026-03-04 09:47:30-05:00,24884.25,481.0,13,149.5,win,target,24841.5,24970.5,2026-03-04 09:42:00-05:00,2026-03-04 09:42:00-05:00,2026-03-04 09:43:00-05:00,5.75,24884.5,,,0.04844961240310078,0,False,0.43005373477935793
