day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-03-03,long,2026-03-03 09:41:00-05:00,24598.75,2026-03-03 09:42:00-05:00,24560.0,-271.25,7,444.5,loss,stop,24567.0,24661.0,2026-03-03 09:40:00-05:00,2026-03-03 09:40:00-05:00,2026-03-03 09:41:00-05:00,31.75,24636.85,2026-03-03 09:42:00-05:00,24567.0,0.3351063829787234,0,False,0.5719318211078643
2026-03-03,long,2026-03-03 09:44:00-05:00,24550.0,2026-03-03 09:46:00-05:00,24572.25,66.75,3,112.5,win,target_scale1,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.75,24572.5,,,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,long,2026-03-03 09:44:00-05:00,24550.0,2026-03-03 09:46:30-05:00,24596.625,139.875,3,112.5,win,target_scale2,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.75,24596.875,,,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,long,2026-03-03 09:44:00-05:00,24550.0,2026-03-03 09:49:00-05:00,24521.5,-85.5,3,112.5,loss,stop,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.75,24625.0,2026-03-03 09:49:00-05:00,24531.25,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,short,2026-03-03 09:52:00-05:00,24527.25,2026-03-03 10:00:30-05:00,24479.8,47.45000000000073,1,79.5,win,target_scale1,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.75,24479.55,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,short,2026-03-03 09:52:00-05:00,24527.25,2026-03-03 10:18:00-05:00,24448.0,158.5,2,159.0,win,target_scale2,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.75,24447.75,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,short,2026-03-03 09:52:00-05:00,24527.25,2026-03-03 10:21:30-05:00,24408.25,357.0,3,238.5,win,target,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.75,24408.0,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,short,2026-03-03 11:07:00-05:00,24555.5,2026-03-03 11:09:00-05:00,24581.25,-360.5,14,490.0,loss,stop,24573.0,24350.75,2026-03-03 11:05:00-05:00,2026-03-03 11:05:00-05:00,2026-03-03 11:07:00-05:00,17.5,24534.5,2026-03-03 11:09:00-05:00,24573.0,0.07761529808773904,2,False,0.45048020631074903
2026-03-03,short,2026-03-03 11:15:00-05:00,24572.25,2026-03-03 11:16:00-05:00,24595.75,-329.0,14,497.0,loss,stop,24590.0,24350.75,2026-03-03 11:14:00-05:00,2026-03-03 11:14:00-05:00,2026-03-03 11:14:00-05:00,17.75,24550.95,2026-03-03 11:16:00-05:00,24590.0,0.07314524555903866,1,False,0.4211295932531357
2026-03-03,short,2026-03-03 11:18:00-05:00,24602.0,2026-03-03 11:18:30-05:00,24593.85,65.20000000001164,8,112.0,win,target_scale1,24609.0,24350.75,2026-03-03 11:17:00-05:00,2026-03-03 11:17:00-05:00,2026-03-03 11:18:00-05:00,7.0,24593.6,,,0.026137463697967087,0,False,0.40351527333259585
2026-03-03,short,2026-03-03 11:18:00-05:00,24602.0,2026-03-03 11:19:30-05:00,24584.75,138.0,8,112.0,win,target_scale2,24609.0,24350.75,2026-03-03 11:17:00-05:00,2026-03-03 11:17:00-05:00,2026-03-03 11:18:00-05:00,7.0,24584.5,,,0.026137463697967087,0,False,0.40351527333259585
2026-03-03,short,2026-03-03 11:18:00-05:00,24602.0,2026-03-03 11:20:30-05:00,24574.25,222.0,8,112.0,win,target_scale3,24609.0,24350.75,2026-03-03 11:17:00-05:00,2026-03-03 11:17:00-05:00,2026-03-03 11:18:00-05:00,7.0,24574.0,,,0.026137463697967087,0,False,0.40351527333259585
2026-03-03,short,2026-03-03 11:18:00-05:00,24602.0,2026-03-03 11:24:00-05:00,24620.25,-200.75,11,154.0,loss,direction_flip,24609.0,24350.75,2026-03-03 11:17:00-05:00,2026-03-03 11:17:00-05:00,2026-03-03 11:18:00-05:00,7.0,24556.5,2026-03-03 11:24:00-05:00,24609.0,0.026137463697967087,0,False,0.40351527333259585
2026-03-03,long,2026-03-03 11:32:00-05:00,24587.0,2026-03-03 11:32:30-05:00,24593.05,66.549999999992,11,115.5,win,target_scale1,24581.75,24642.5,2026-03-03 11:31:00-05:00,2026-03-03 11:31:00-05:00,2026-03-03 11:32:00-05:00,5.25,24593.3,,,0.0823045267489712,0,False,0.6016813576221466
2026-03-03,long,2026-03-03 11:32:00-05:00,24587.0,2026-03-03 11:33:00-05:00,24577.0,-110.0,11,115.5,loss,stop,24581.75,24642.5,2026-03-03 11:31:00-05:00,2026-03-03 11:31:00-05:00,2026-03-03 11:32:00-05:00,5.25,24600.125,2026-03-03 11:33:00-05:00,24581.75,0.0823045267489712,0,False,0.6016813576221466
2026-03-03,long,2026-03-03 11:35:00-05:00,24608.75,2026-03-03 11:46:00-05:00,24663.4,54.650000000001455,1,91.5,win,target_scale1,24563.0,24642.5,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,45.75,24663.65,,,0.5723270440251572,1,False,0.6618681192398072
2026-03-03,long,2026-03-03 11:35:00-05:00,24608.75,2026-03-03 11:47:00-05:00,24700.0,91.25,1,91.5,win,target_scale2,24563.0,24642.5,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,45.75,24700.25,,,0.5723270440251572,1,False,0.6618681192398072
2026-03-03,long,2026-03-03 11:35:00-05:00,24608.75,2026-03-03 12:00:00-05:00,24680.0,213.75,3,274.5,forced_close,forced_close,24563.0,24642.5,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,45.75,24746.0,,,0.5723270440251572,1,False,0.6618681192398072
2026-03-04,long,2026-03-04 09:37:00-05:00,24884.25,2026-03-04 09:38:00-05:00,24905.3,63.14999999999782,3,106.5,win,target_scale1,24866.5,24970.5,2026-03-04 09:36:00-05:00,2026-03-04 09:36:00-05:00,2026-03-04 09:37:00-05:00,17.75,24905.55,,,0.16826923076923078,1,False,0.5318453907966614
2026-03-04,long,2026-03-04 09:37:00-05:00,24884.25,2026-03-04 09:41:00-05:00,24863.5,-62.25,3,106.5,loss,stop,24866.5,24970.5,2026-03-04 09:36:00-05:00,2026-03-04 09:36:00-05:00,2026-03-04 09:37:00-05:00,17.75,24928.625,2026-03-04 09:41:00-05:00,24866.5,0.16826923076923078,1,False,0.5318453907966614
2026-03-04,long,2026-03-04 09:43:00-05:00,24848.0,2026-03-04 09:43:30-05:00,24855.55,67.94999999999345,9,117.0,win,target_scale1,24841.5,24970.5,2026-03-04 09:42:00-05:00,2026-03-04 09:42:00-05:00,2026-03-04 09:43:00-05:00,6.5,24855.8,,,0.04844961240310078,0,False,0.43005373477935793
2026-03-04,long,2026-03-04 09:43:00-05:00,24848.0,2026-03-04 09:43:30-05:00,24864.0,144.0,9,117.0,win,target_scale2,24841.5,24970.5,2026-03-04 09:42:00-05:00,2026-03-04 09:42:00-05:00,2026-03-04 09:43:00-05:00,6.5,24864.25,,,0.04844961240310078,0,False,0.43005373477935793
2026-03-04,long,2026-03-04 09:43:00-05:00,24848.0,2026-03-04 09:44:00-05:00,24873.75,231.75,9,117.0,win,target_scale3,24841.5,24970.5,2026-03-04 09:42:00-05:00,2026-03-04 09:42:00-05:00,2026-03-04 09:43:00-05:00,6.5,24874.0,,,0.04844961240310078,0,False,0.43005373477935793
2026-03-04,long,2026-03-04 09:43:00-05:00,24848.0,2026-03-04 09:47:30-05:00,24890.0,462.0,11,143.0,win,target,24841.5,24970.5,2026-03-04 09:42:00-05:00,2026-03-04 09:42:00-05:00,2026-03-04 09:43:00-05:00,6.5,24890.25,,,0.04844961240310078,0,False,0.43005373477935793
2026-03-04,long,2026-03-04 09:51:00-05:00,24872.75,2026-03-04 09:51:30-05:00,24881.5,70.0,8,120.0,win,target_scale1,24865.25,24970.5,2026-03-04 09:50:00-05:00,2026-03-04 09:50:00-05:00,2026-03-04 09:51:00-05:00,7.5,24881.75,,,0.0688836104513064,0,False,0.5307879984378815
2026-03-04,long,2026-03-04 09:51:00-05:00,24872.75,2026-03-04 09:51:30-05:00,24891.25,148.0,8,120.0,win,target_scale2,24865.25,24970.5,2026-03-04 09:50:00-05:00,2026-03-04 09:50:00-05:00,2026-03-04 09:51:00-05:00,7.5,24891.5,,,0.0688836104513064,0,False,0.5307879984378815
2026-03-04,long,2026-03-04 09:51:00-05:00,24872.75,2026-03-04 09:52:30-05:00,24902.5,238.0,8,120.0,win,target_scale3,24865.25,24970.5,2026-03-04 09:50:00-05:00,2026-03-04 09:50:00-05:00,2026-03-04 09:51:00-05:00,7.5,24902.75,,,0.0688836104513064,0,False,0.5307879984378815
2026-03-04,long,2026-03-04 09:51:00-05:00,24872.75,2026-03-04 09:53:00-05:00,24921.25,436.5,9,135.0,win,target,24865.25,24970.5,2026-03-04 09:50:00-05:00,2026-03-04 09:50:00-05:00,2026-03-04 09:51:00-05:00,7.5,24921.5,,,0.0688836104513064,0,False,0.5307879984378815
2026-03-04,long,2026-03-04 09:57:00-05:00,24913.0,2026-03-04 09:57:30-05:00,24925.95,64.75000000000364,5,110.0,win,target_scale1,24902.0,24970.5,2026-03-04 09:56:00-05:00,2026-03-04 09:56:00-05:00,2026-03-04 09:56:00-05:00,11.0,24926.2,,,0.15693430656934307,0,False,0.5929932057857513
2026-03-04,long,2026-03-04 09:57:00-05:00,24913.0,2026-03-04 10:00:30-05:00,24940.25,136.25,5,110.0,win,target_scale2,24902.0,24970.5,2026-03-04 09:56:00-05:00,2026-03-04 09:56:00-05:00,2026-03-04 09:56:00-05:00,11.0,24940.5,,,0.15693430656934307,0,False,0.5929932057857513
2026-03-04,long,2026-03-04 09:57:00-05:00,24913.0,2026-03-04 10:01:00-05:00,24956.75,218.75,5,110.0,win,target_scale3,24902.0,24970.5,2026-03-04 09:56:00-05:00,2026-03-04 09:56:00-05:00,2026-03-04 09:56:00-05:00,11.0,24957.0,,,0.15693430656934307,0,False,0.5929932057857513
2026-03-04,long,2026-03-04 09:57:00-05:00,24913.0,2026-03-04 10:04:00-05:00,24900.75,-85.75,7,154.0,loss,stop,24902.0,24970.5,2026-03-04 09:56:00-05:00,2026-03-04 09:56:00-05:00,2026-03-04 09:56:00-05:00,11.0,24984.5,2026-03-04 10:04:00-05:00,24902.0,0.15693430656934307,0,False,0.5929932057857513
2026-03-05,long,2026-03-05 09:42:00-05:00,25084.25,2026-03-05 09:46:00-05:00,25045.25,-351.0,9,499.5,loss,stop,25056.5,25125.25,2026-03-05 09:41:00-05:00,2026-03-05 09:41:00-05:00,2026-03-05 09:41:00-05:00,27.75,25117.55,2026-03-05 09:46:00-05:00,25056.5,0.4,1,False,0.6198513150215149
2026-03-05,long,2026-03-05 10:24:00-05:00,25056.5,2026-03-05 10:25:00-05:00,25023.25,-532.0,16,496.0,loss,stop,25041.0,25208.25,2026-03-05 10:23:00-05:00,2026-03-05 10:23:00-05:00,2026-03-05 10:23:00-05:00,15.5,25075.1,2026-03-05 10:25:00-05:00,25041.0,0.09118086696562033,0,False,0.4755152761936188
2026-03-05,long,2026-03-05 10:27:00-05:00,25011.5,2026-03-05 10:27:30-05:00,25012.45,58.90000000004511,62,124.0,win,target_scale1,25010.5,25208.25,2026-03-05 10:26:00-05:00,2026-03-05 10:26:00-05:00,2026-03-05 10:27:00-05:00,1.0,25012.7,,,0.0037926675094816687,0,False,0.5388547837734222
2026-03-05,long,2026-03-05 10:27:00-05:00,25011.5,2026-03-05 10:28:00-05:00,25007.5,-248.0,62,124.0,loss,stop,25010.5,25208.25,2026-03-05 10:26:00-05:00,2026-03-05 10:26:00-05:00,2026-03-05 10:27:00-05:00,1.0,25014.0,2026-03-05 10:28:00-05:00,25010.5,0.0037926675094816687,0,False,0.5388547837734222
2026-03-05,long,2026-03-05 10:30:00-05:00,25012.5,2026-03-05 10:31:00-05:00,24953.25,-651.75,11,467.5,loss,direction_flip,24991.25,25208.25,2026-03-05 10:29:00-05:00,2026-03-05 10:29:00-05:00,2026-03-05 10:30:00-05:00,21.25,25038.0,2026-03-05 10:31:00-05:00,24991.25,0.0967741935483871,0,False,0.5022377610206604
2026-03-05,short,2026-03-05 10:38:00-05:00,25011.0,2026-03-05 10:38:30-05:00,25000.75,71.75,7,122.5,win,target_scale1,25019.75,24930.5,2026-03-05 10:37:00-05:00,2026-03-05 10:37:00-05:00,2026-03-05 10:38:00-05:00,8.75,25000.5,,,0.09523809523809523,1,False,0.5591771483421326
2026-03-05,short,2026-03-05 10:38:00-05:00,25011.0,2026-03-05 10:39:00-05:00,25028.5,-122.5,7,122.5,loss,stop,25019.75,24930.5,2026-03-05 10:37:00-05:00,2026-03-05 10:37:00-05:00,2026-03-05 10:38:00-05:00,8.75,24989.125,2026-03-05 10:39:00-05:00,25019.75,0.09523809523809523,1,False,0.5591771483421326
2026-03-05,long,2026-03-05 10:44:00-05:00,25028.25,2026-03-05 10:44:30-05:00,25040.3,72.29999999999563,6,123.0,win,target_scale1,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,10.25,25040.55,,,0.18867924528301888,0,False,0.5719318211078643
2026-03-05,long,2026-03-05 10:44:00-05:00,25028.25,2026-03-05 10:45:30-05:00,25053.625,152.25,6,123.0,win,target_scale2,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,10.25,25053.875,,,0.18867924528301888,0,False,0.5719318211078643
2026-03-05,long,2026-03-05 10:44:00-05:00,25028.25,2026-03-05 10:48:30-05:00,25069.0,244.5,6,123.0,win,target_scale3,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,10.25,25069.25,,,0.18867924528301888,0,False,0.5719318211078643
2026-03-05,long,2026-03-05 10:44:00-05:00,25028.25,2026-03-05 10:54:30-05:00,25094.625,398.25,6,123.0,win,target,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,10.25,25094.875,,,0.18867924528301888,0,False,0.5719318211078643
2026-03-05,long,2026-03-05 10:58:00-05:00,25061.5,2026-03-05 10:59:30-05:00,25075.95,72.25000000000364,5,122.5,win,target_scale1,25049.25,25086.25,2026-03-05 10:57:00-05:00,2026-03-05 10:57:00-05:00,2026-03-05 10:58:00-05:00,12.25,25076.2,,,0.32432432432432434,1,False,0.5929932057857513
2026-03-05,long,2026-03-05 10:58:00-05:00,25061.5,2026-03-05 11:00:30-05:00,25091.875,151.875,5,122.5,win,target_scale2,25049.25,25086.25,2026-03-05 10:57:00-05:00,2026-03-05 10:57:00-05:00,2026-03-05 10:58:00-05:00,12.25,25092.125,,,0.32432432432432434,1,False,0.5929932057857513
