day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-03-03,short,2026-03-03 09:53:00-05:00,24530.0,2026-03-03 09:59:00-05:00,24485.6,44.400000000001455,1,74.0,win,target_scale1,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,37.0,24485.6,,,0.46540880503144655,0,False,0.5181868493556976
2026-03-03,short,2026-03-03 09:53:00-05:00,24530.0,2026-03-03 10:17:30-05:00,24456.0,148.0,2,148.0,win,target_scale2,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,37.0,24456.0,,,0.46540880503144655,0,False,0.5181868493556976
2026-03-03,short,2026-03-03 09:53:00-05:00,24530.0,2026-03-03 10:21:00-05:00,24419.0,333.0,3,222.0,win,target,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,37.0,24419.0,,,0.46540880503144655,0,False,0.5181868493556976
2026-03-03,long,2026-03-03 11:36:00-05:00,24619.25,2026-03-03 11:46:30-05:00,24686.75,67.5,1,112.5,win,target_scale1,24563.0,24642.5,2026-03-03 11:31:00-05:00,2026-03-03 11:31:00-05:00,2026-03-03 11:34:00-05:00,56.25,24686.75,,,0.7075471698113207,1,False,0.5481243550777435
2026-03-03,long,2026-03-03 11:36:00-05:00,24619.25,2026-03-03 12:00:00-05:00,24680.25,183.0,3,337.5,forced_close,forced_close,24563.0,24642.5,2026-03-03 11:31:00-05:00,2026-03-03 11:31:00-05:00,2026-03-03 11:34:00-05:00,56.25,24731.75,,,0.7075471698113207,1,False,0.5481243550777435
2026-03-04,long,2026-03-04 10:06:00-05:00,24937.25,2026-03-04 10:09:30-05:00,24993.65,56.400000000001455,1,94.0,win,target_scale1,24890.25,24983.5,2026-03-04 10:03:00-05:00,2026-03-04 10:03:00-05:00,2026-03-04 10:05:00-05:00,47.0,24993.65,,,0.5040214477211796,2,False,0.5421900928020478
2026-03-04,long,2026-03-04 10:06:00-05:00,24937.25,2026-03-04 10:20:00-05:00,25031.25,94.0,1,94.0,win,target_scale2,24890.25,24983.5,2026-03-04 10:03:00-05:00,2026-03-04 10:03:00-05:00,2026-03-04 10:05:00-05:00,47.0,25031.25,,,0.5040214477211796,2,False,0.5421900928020478
2026-03-04,long,2026-03-04 10:06:00-05:00,24937.25,2026-03-04 10:22:30-05:00,25078.25,423.0,3,282.0,win,target,24890.25,24983.5,2026-03-04 10:03:00-05:00,2026-03-04 10:03:00-05:00,2026-03-04 10:05:00-05:00,47.0,25078.25,,,0.5040214477211796,2,False,0.5421900928020478
2026-03-05,long,2026-03-05 09:42:00-05:00,25084.0,2026-03-05 09:46:00-05:00,25045.5,-346.5,9,495.0,loss,stop,25056.5,25125.25,2026-03-05 09:41:00-05:00,2026-03-05 09:41:00-05:00,2026-03-05 09:41:00-05:00,27.5,25117.0,2026-03-05 09:46:00-05:00,25056.5,0.4,1,False,0.7745299816131592
2026-03-05,long,2026-03-05 10:45:00-05:00,25041.5,2026-03-05 10:48:30-05:00,25069.7,56.400000000001455,2,94.0,win,target_scale1,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,23.5,25069.7,,,0.44339622641509435,0,False,0.6962691068649292
2026-03-05,long,2026-03-05 10:45:00-05:00,25041.5,2026-03-05 10:52:30-05:00,25088.5,141.0,3,141.0,win,target_scale2,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,23.5,25088.5,,,0.44339622641509435,0,False,0.6962691068649292
2026-03-05,long,2026-03-05 10:45:00-05:00,25041.5,2026-03-05 11:09:00-05:00,25010.0,-157.5,5,235.0,loss,stop,25018.0,25071.0,2026-03-05 10:43:00-05:00,2026-03-05 10:43:00-05:00,2026-03-05 10:44:00-05:00,23.5,25112.0,2026-03-05 11:09:00-05:00,25018.0,0.44339622641509435,0,False,0.6962691068649292
