Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
01/02/26,09:36:00,MNQ,Sell,7,25656.25,Future,Mar 26,,,,
01/02/26,09:37:00,MNQ,Buy,7,25697.75,Future,Mar 26,,,,
01/02/26,09:45:00,MNQ,Buy,37,25690.0,Future,Mar 26,,,,
01/02/26,09:46:00,MNQ,Sell,37,25697.25,Future,Mar 26,,,,
01/02/26,10:06:00,MNQ,Sell,26,25734.0,Future,Mar 26,,,,
01/02/26,10:08:00,MNQ,Buy,26,25707.75,Future,Mar 26,,,,
01/02/26,10:11:00,MNQ,Sell,55,25684.0,Future,Mar 26,,,,
01/02/26,10:12:00,MNQ,Buy,55,25656.75,Future,Mar 26,,,,
01/05/26,09:47:00,MNQ,Sell,12,25613.0,Future,Mar 26,,,,
01/05/26,09:48:00,MNQ,Buy,12,25589.5,Future,Mar 26,,,,
01/05/26,10:04:00,MNQ,Buy,22,25621.25,Future,Mar 26,,,,
01/05/26,10:05:00,MNQ,Sell,22,25634.75,Future,Mar 26,,,,
01/05/26,10:07:00,MNQ,Sell,9,25620.5,Future,Mar 26,,,,
01/05/26,10:10:00,MNQ,Buy,9,25647.5,Future,Mar 26,,,,
01/05/26,10:13:00,MNQ,Buy,20,25632.75,Future,Mar 26,,,,
01/05/26,10:17:00,MNQ,Sell,20,25650.5,Future,Mar 26,,,,
01/05/26,10:19:00,MNQ,Buy,37,25654.5,Future,Mar 26,,,,
01/05/26,10:20:00,MNQ,Sell,37,25662.0,Future,Mar 26,,,,
01/05/26,10:25:00,MNQ,Buy,125,25662.0,Future,Mar 26,,,,
01/05/26,10:25:30,MNQ,Sell,125,25659.75,Future,Mar 26,,,,
01/05/26,10:34:00,MNQ,Buy,10,25690.0,Future,Mar 26,,,,
01/05/26,10:38:00,MNQ,Sell,10,25660.25,Future,Mar 26,,,,
01/05/26,10:40:00,MNQ,Sell,50,25655.25,Future,Mar 26,,,,
01/05/26,10:40:30,MNQ,Buy,50,25661.0,Future,Mar 26,,,,
01/06/26,09:44:00,MNQ,Buy,66,25640.25,Future,Mar 26,,,,
01/06/26,09:44:30,MNQ,Sell,66,25636.0,Future,Mar 26,,,,
01/07/26,09:38:00,MNQ,Sell,24,25807.5,Future,Mar 26,,,,
01/07/26,09:39:00,MNQ,Buy,24,25819.5,Future,Mar 26,,,,
01/08/26,09:43:00,MNQ,Sell,2,25638.75,Future,Mar 26,,,,
01/08/26,11:00:00,MNQ,Buy,2,25685.0,Future,Mar 26,,,,
01/09/26,09:50:00,MNQ,Buy,7,25706.0,Future,Mar 26,,,,
01/09/26,09:54:00,MNQ,Sell,7,25745.0,Future,Mar 26,,,,
01/09/26,09:57:00,MNQ,Buy,10,25713.25,Future,Mar 26,,,,
01/09/26,09:59:30,MNQ,Sell,10,25741.0,Future,Mar 26,,,,
01/09/26,10:02:00,MNQ,Sell,30,25710.0,Future,Mar 26,,,,
01/09/26,10:02:30,MNQ,Buy,30,25719.75,Future,Mar 26,,,,
01/09/26,10:06:00,MNQ,Sell,30,25704.25,Future,Mar 26,,,,
01/09/26,10:07:00,MNQ,Buy,30,25671.75,Future,Mar 26,,,,
01/09/26,10:12:00,MNQ,Buy,23,25674.75,Future,Mar 26,,,,
01/09/26,10:13:00,MNQ,Sell,23,25724.5,Future,Mar 26,,,,
01/13/26,09:53:00,MNQ,Buy,7,25974.25,Future,Mar 26,,,,
01/13/26,10:03:00,MNQ,Sell,7,25906.0,Future,Mar 26,,,,
01/13/26,10:07:00,MNQ,Buy,24,25947.5,Future,Mar 26,,,,
01/13/26,10:07:30,MNQ,Sell,24,25935.5,Future,Mar 26,,,,
01/14/26,09:43:00,MNQ,Sell,3,25655.25,Future,Mar 26,,,,
01/14/26,10:00:30,MNQ,Buy,3,25571.25,Future,Mar 26,,,,
01/15/26,09:44:00,MNQ,Buy,166,25901.75,Future,Mar 26,,,,
01/15/26,09:44:30,MNQ,Sell,166,25899.5,Future,Mar 26,,,,
01/15/26,09:48:00,MNQ,Sell,17,25910.0,Future,Mar 26,,,,
01/15/26,09:50:00,MNQ,Buy,17,25893.25,Future,Mar 26,,,,
01/15/26,09:56:00,MNQ,Buy,22,25907.0,Future,Mar 26,,,,
01/15/26,09:56:30,MNQ,Sell,22,25893.75,Future,Mar 26,,,,
01/15/26,10:16:00,MNQ,Sell,14,25875.25,Future,Mar 26,,,,
01/15/26,10:24:00,MNQ,Buy,14,25895.25,Future,Mar 26,,,,
01/15/26,10:26:00,MNQ,Sell,4,25864.25,Future,Mar 26,,,,
01/15/26,10:38:00,MNQ,Buy,4,25916.75,Future,Mar 26,,,,
01/15/26,10:41:00,MNQ,Buy,90,25909.25,Future,Mar 26,,,,
01/15/26,10:41:30,MNQ,Sell,90,25906.25,Future,Mar 26,,,,
01/16/26,09:45:00,MNQ,Sell,9,25820.0,Future,Mar 26,,,,
01/16/26,09:55:00,MNQ,Buy,9,25788.25,Future,Mar 26,,,,
01/20/26,09:38:00,MNQ,Sell,30,25284.25,Future,Mar 26,,,,
01/20/26,09:38:30,MNQ,Buy,30,25294.0,Future,Mar 26,,,,
01/20/26,09:41:00,MNQ,Sell,43,25251.5,Future,Mar 26,,,,
01/20/26,09:41:30,MNQ,Buy,43,25258.25,Future,Mar 26,,,,
01/20/26,09:45:00,MNQ,Buy,5,25334.0,Future,Mar 26,,,,
01/20/26,09:48:00,MNQ,Sell,5,25270.25,Future,Mar 26,,,,
01/20/26,09:58:00,MNQ,Buy,7,25328.75,Future,Mar 26,,,,
01/20/26,10:03:00,MNQ,Sell,7,25292.25,Future,Mar 26,,,,
01/20/26,10:05:00,MNQ,Buy,10,25301.25,Future,Mar 26,,,,
01/20/26,10:09:00,MNQ,Sell,10,25269.75,Future,Mar 26,,,,
01/20/26,10:13:00,MNQ,Buy,15,25282.5,Future,Mar 26,,,,
01/20/26,10:18:30,MNQ,Sell,15,25302.0,Future,Mar 26,,,,
01/20/26,10:21:00,MNQ,Buy,18,25267.75,Future,Mar 26,,,,
01/20/26,10:21:30,MNQ,Sell,18,25284.0,Future,Mar 26,,,,
01/20/26,10:58:00,MNQ,Sell,21,25324.75,Future,Mar 26,,,,
01/20/26,10:59:30,MNQ,Buy,21,25338.25,Future,Mar 26,,,,
01/21/26,09:35:00,MNQ,Sell,7,25163.0,Future,Mar 26,,,,
01/21/26,09:45:00,MNQ,Buy,7,25201.75,Future,Mar 26,,,,
01/21/26,09:50:00,MNQ,Buy,8,25236.25,Future,Mar 26,,,,
01/21/26,09:52:30,MNQ,Sell,8,25270.0,Future,Mar 26,,,,
01/22/26,09:39:00,MNQ,Sell,16,25666.75,Future,Mar 26,,,,
01/22/26,09:43:30,MNQ,Buy,16,25648.5,Future,Mar 26,,,,
01/23/26,09:38:00,MNQ,Sell,4,25570.0,Future,Mar 26,,,,
01/23/26,09:43:00,MNQ,Buy,4,25624.5,Future,Mar 26,,,,
01/23/26,09:56:00,MNQ,Buy,45,25630.75,Future,Mar 26,,,,
01/23/26,09:57:00,MNQ,Sell,45,25640.0,Future,Mar 26,,,,
01/27/26,09:43:00,MNQ,Sell,10,25960.5,Future,Mar 26,,,,
01/27/26,09:51:00,MNQ,Buy,10,25993.25,Future,Mar 26,,,,
01/28/26,09:36:00,MNQ,Sell,111,26235.5,Future,Mar 26,,,,
01/28/26,09:37:00,MNQ,Buy,111,26224.5,Future,Mar 26,,,,
01/28/26,09:40:00,MNQ,Buy,52,26244.75,Future,Mar 26,,,,
01/28/26,09:41:00,MNQ,Sell,52,26263.25,Future,Mar 26,,,,
01/28/26,09:45:00,MNQ,Buy,12,26285.5,Future,Mar 26,,,,
01/28/26,09:48:00,MNQ,Sell,12,26240.25,Future,Mar 26,,,,
01/28/26,10:13:00,MNQ,Sell,13,26219.25,Future,Mar 26,,,,
01/28/26,10:17:00,MNQ,Buy,13,26246.5,Future,Mar 26,,,,
01/28/26,10:22:00,MNQ,Buy,90,26244.25,Future,Mar 26,,,,
01/28/26,10:22:30,MNQ,Sell,90,26241.25,Future,Mar 26,,,,
01/28/26,10:48:00,MNQ,Sell,3,26167.5,Future,Mar 26,,,,
01/28/26,11:00:00,MNQ,Buy,3,26162.75,Future,Mar 26,,,,
01/29/26,09:35:00,MNQ,Sell,6,26097.0,Future,Mar 26,,,,
01/29/26,09:36:30,MNQ,Buy,6,26049.0,Future,Mar 26,,,,
01/30/26,09:43:00,MNQ,Sell,58,25904.25,Future,Mar 26,,,,
01/30/26,09:44:00,MNQ,Buy,58,25885.75,Future,Mar 26,,,,
01/30/26,09:47:00,MNQ,Buy,13,25857.25,Future,Mar 26,,,,
01/30/26,09:47:30,MNQ,Sell,13,25879.75,Future,Mar 26,,,,
01/30/26,09:50:00,MNQ,Buy,7,25892.0,Future,Mar 26,,,,
01/30/26,09:59:00,MNQ,Sell,7,25843.25,Future,Mar 26,,,,
