open_date,direction,entry_time,pivot_time,outcome,label_win,retrace,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,zone_over_range,pivot_over_range,dist_to_extrema_atr,zone_to_extrema_atr,hod_rel_entry_atr,lod_rel_entry_atr
2025-01-02,short,2025-01-02 12:01:00-05:00,2025-01-02 11:59:00-05:00,forced_close,0,0.5660377358490566,39.75,120.0,7.5,28.0,5.6,0.6,2,5,0.1099099099099099,0.1432432432432432,7.67446211412535,8.054256314312441,0.0,7.67446211412535
2025-01-03,long,2025-01-03 09:57:00-05:00,2025-01-03 09:52:00-05:00,loss,0,0.5535714285714286,126.0,300.0,8.75,107.5,9.772727272727272,0.6363636363636364,4,11,0.2503961965134706,0.7987321711568938,2.1028307336799537,3.825534373194685,2.1028307336799537,0.0
2025-01-03,long,2025-01-03 10:33:00-05:00,2025-01-03 10:31:00-05:00,win,1,0.7243243243243244,46.25,120.0,7.75,33.25,6.65,0.6,2,5,0.2194444444444444,0.2569444444444444,3.8633623576691223,4.669792364367046,3.8633623576691223,0.0
2025-01-06,long,2025-01-06 09:37:00-05:00,2025-01-06 09:37:00-05:00,win,1,0.58,37.5,0.0,5.75,5.75,5.75,0.0,0,1,0.6,0.4918032786885246,0.7508532423208191,0.8327645051194539,0.7508532423208191,0.0
2025-01-07,short,2025-01-07 09:57:00-05:00,2025-01-07 09:54:00-05:00,win,1,0.605,100.0,180.0,11.75,66.0,9.428571428571429,0.7142857142857143,3,7,0.2134831460674157,0.898876404494382,1.234338747099768,3.7896365042536737,0.0,1.234338747099768
2025-01-08,short,2025-01-08 10:43:00-05:00,2025-01-08 10:41:00-05:00,win,1,0.88,18.75,120.0,6.0,46.25,9.25,0.8,3,5,0.1688125894134478,0.1072961373390558,3.0475552578700604,3.628935030140656,0.0,3.0475552578700604
2025-01-08,long,2025-01-08 10:55:00-05:00,2025-01-08 10:55:00-05:00,loss,0,0.5104895104895105,35.75,0.0,5.25,5.25,5.25,0.0,0,1,0.1688125894134478,0.2045779685264663,3.100261551874455,2.3679163034001744,3.100261551874455,0.0
2025-01-08,short,2025-01-08 11:05:00-05:00,2025-01-08 11:04:00-05:00,win,1,1.0327868852459017,15.25,60.0,5.25,18.5,6.166666666666667,1.0,3,3,0.1688125894134478,0.0872675250357653,4.2745098039215685,5.0588235294117645,0.0,4.2745098039215685
2025-01-08,short,2025-01-08 11:14:00-05:00,2025-01-08 11:14:00-05:00,loss,0,0.5431034482758621,29.0,0.0,1.25,1.25,1.25,1.0,1,1,0.1688125894134478,0.1659513590844063,4.9730215827338125,4.872302158273381,0.0,4.9730215827338125
2025-01-08,long,2025-01-08 11:31:00-05:00,2025-01-08 11:30:00-05:00,win,1,0.6287425149700598,41.75,60.0,5.0,26.25,8.75,0.6666666666666666,2,3,0.1688125894134478,0.2389127324749642,3.604290822407628,3.237187127532777,3.604290822407628,0.0
2025-01-10,short,2025-01-10 09:36:00-05:00,2025-01-10 09:35:00-05:00,win,1,0.5732899022801303,76.75,60.0,8.25,60.5,20.166666666666668,0.3333333333333333,1,3,0.5645645645645646,0.921921921921922,0.8904214559386974,0.7777777777777778,0.0,0.8904214559386974
2025-01-13,long,2025-01-13 10:06:00-05:00,2025-01-13 10:02:00-05:00,loss,0,0.7148148148148148,67.5,240.0,5.25,81.0,9.0,0.7777777777777778,3,9,0.1522094926350245,0.44189852700491,1.0173333333333334,2.9026666666666667,1.0173333333333334,0.0
2025-01-13,long,2025-01-13 10:19:00-05:00,2025-01-13 10:16:00-05:00,loss,0,0.4666666666666667,86.25,180.0,6.5,42.75,6.107142857142857,0.5714285714285714,2,7,0.1507293354943274,0.5591572123176661,3.205831903945111,3.806174957118353,3.205831903945111,0.0
2025-01-13,long,2025-01-13 11:41:00-05:00,2025-01-13 11:40:00-05:00,win,1,0.4141414141414141,49.5,60.0,19.25,32.25,10.75,1.0,3,3,0.1302521008403361,0.2773109243697479,4.647242455775235,6.0312174817898025,4.647242455775235,0.0
2025-01-14,long,2025-01-14 09:42:00-05:00,2025-01-14 09:40:00-05:00,loss,0,0.6289308176100629,39.75,120.0,17.5,44.75,8.95,0.6,2,5,0.4224719101123595,0.3573033707865168,0.1378396288933068,1.5679257786613652,0.1378396288933068,0.0
2025-01-14,long,2025-01-14 10:16:00-05:00,2025-01-14 10:14:00-05:00,loss,0,0.6608187134502924,42.75,120.0,14.75,38.5,7.7,0.8,4,5,0.2874617737003058,0.2614678899082568,1.140105078809107,2.231173380035026,1.140105078809107,0.0
2025-01-14,short,2025-01-14 10:25:00-05:00,2025-01-14 10:25:00-05:00,win,1,0.6886792452830188,26.5,0.0,11.25,11.25,11.25,0.0,0,1,0.2874617737003058,0.1620795107033639,3.791208791208791,3.120879120879121,0.0,3.791208791208791
2025-01-16,short,2025-01-16 09:43:00-05:00,2025-01-16 09:41:00-05:00,win,1,0.4760147601476014,67.75,120.0,24.75,47.25,9.45,1.0,5,5,0.3827493261455525,0.7304582210242587,0.4144144144144144,2.063063063063063,0.0,0.4144144144144144
2025-01-16,short,2025-01-16 11:18:00-05:00,2025-01-16 11:10:00-05:00,win,1,0.4963898916967509,138.5,480.0,9.5,120.25,7.073529411764706,0.6470588235294118,5,17,0.2191358024691358,0.8549382716049383,4.136960600375235,6.645403377110695,0.0,4.136960600375235
2025-01-17,short,2025-01-17 09:37:00-05:00,2025-01-17 09:37:00-05:00,win,1,0.5032258064516129,38.75,0.0,14.0,14.0,14.0,1.0,1,1,0.6239130434782608,0.3369565217391304,0.4094232331437855,1.124289195775792,0.0,0.4094232331437855
2025-01-17,short,2025-01-17 10:22:00-05:00,2025-01-17 10:07:00-05:00,loss,0,0.5883905013192612,94.75,900.0,11.0,198.25,6.395161290322581,0.5806451612903226,5,31,0.4309309309309309,0.5690690690690691,1.209480122324159,4.056574923547401,0.0,1.209480122324159
2025-01-17,short,2025-01-17 12:01:00-05:00,2025-01-17 11:27:00-05:00,forced_close,0,0.4684385382059801,150.5,2040.0,0.5,298.5,4.326086956521739,0.5652173913043478,8,69,0.4159420289855072,0.8724637681159421,7.103857566765578,8.370919881305637,0.0,7.103857566765578
2025-01-20,long,2025-01-20 10:09:00-05:00,2025-01-20 10:08:00-05:00,loss,0,0.803030303030303,16.5,60.0,6.5,11.25,3.75,0.3333333333333333,1,3,0.2172284644194756,0.247191011235955,3.968970380818053,3.968970380818053,3.968970380818053,0.0
2025-01-23,long,2025-01-23 10:00:00-05:00,2025-01-23 09:57:00-05:00,loss,0,0.490566037735849,39.75,180.0,3.25,35.5,5.071428571428571,0.4285714285714285,1,7,0.4449760765550239,0.7607655502392344,1.8613861386138617,2.1782178217821784,1.8613861386138617,0.0
2025-01-23,long,2025-01-23 10:30:00-05:00,2025-01-23 10:21:00-05:00,win,1,0.7961165048543689,25.75,540.0,0.25,80.5,4.2368421052631575,0.5789473684210527,4,19,0.4449760765550239,0.492822966507177,1.6218057921635434,2.62350936967632,1.6218057921635434,0.0
2025-01-24,short,2025-01-24 09:44:00-05:00,2025-01-24 09:43:00-05:00,loss,0,0.5730337078651685,44.5,60.0,11.75,34.25,11.416666666666666,0.6666666666666666,2,3,0.3175355450236967,0.8436018957345972,1.7154150197628455,1.9920948616600789,0.0,1.7154150197628455
2025-01-24,long,2025-01-24 10:01:00-05:00,2025-01-24 09:58:00-05:00,loss,0,0.4571428571428571,35.0,180.0,4.75,33.25,4.75,0.4285714285714285,1,7,0.2147435897435897,0.4487179487179487,1.7131578947368422,1.8605263157894736,1.7131578947368422,0.0
2025-01-24,short,2025-01-24 10:12:00-05:00,2025-01-24 10:11:00-05:00,win,1,0.5957446808510638,23.5,60.0,12.5,34.5,11.5,0.3333333333333333,1,3,0.2147435897435897,0.3012820512820512,2.309604519774011,2.2779661016949153,0.0,2.309604519774011
2025-01-28,long,2025-01-28 10:12:00-05:00,2025-01-28 10:10:00-05:00,win,1,0.3981481481481481,54.0,120.0,10.75,38.75,7.75,0.8,2,5,0.1145958986731001,0.2605548854041013,0.8911917098445595,2.0,0.8911917098445595,0.0
2025-01-31,long,2025-01-31 09:45:00-05:00,2025-01-31 09:44:00-05:00,win,1,0.875,36.0,60.0,13.0,35.25,11.75,0.6666666666666666,2,3,0.3602693602693603,0.4848484848484848,1.3086053412462908,1.900593471810089,1.3086053412462908,0.0
2025-02-03,long,2025-02-03 09:59:00-05:00,2025-02-03 09:59:00-05:00,loss,0,0.5157894736842106,47.5,0.0,9.75,9.75,9.75,0.0,0,1,0.2882249560632688,0.3339191564147627,3.112009237875289,3.1039260969976907,3.112009237875289,0.0
2025-02-03,short,2025-02-03 10:07:00-05:00,2025-02-03 10:06:00-05:00,win,1,0.5427350427350427,58.5,60.0,2.0,8.5,2.8333333333333335,1.0,3,3,0.2408223201174743,0.3436123348017621,0.7720295622512792,1.0585559977259806,0.0,0.7720295622512792
2025-02-05,long,2025-02-05 09:44:00-05:00,2025-02-05 09:43:00-05:00,loss,0,0.6482758620689655,36.25,60.0,7.75,19.5,6.5,0.6666666666666666,2,3,0.3345454545454545,0.5272727272727272,1.0907424381301558,1.527039413382218,1.0907424381301558,0.0
2025-02-05,short,2025-02-05 10:12:00-05:00,2025-02-05 10:06:00-05:00,loss,0,0.4888888888888889,45.0,360.0,3.0,69.5,5.346153846153846,0.6153846153846154,4,13,0.2129629629629629,0.4166666666666667,0.7109375,1.2395833333333337,0.0,0.7109375
2025-02-05,short,2025-02-05 10:24:00-05:00,2025-02-05 10:24:00-05:00,loss,0,0.4521276595744681,47.0,0.0,7.25,7.25,7.25,0.0,0,1,0.2129629629629629,0.4351851851851852,1.8513302034428791,1.489827856025039,0.0,1.8513302034428791
2025-02-05,long,2025-02-05 10:34:00-05:00,2025-02-05 10:33:00-05:00,win,1,0.5548780487804879,41.0,60.0,1.5,14.25,4.75,0.6666666666666666,1,3,0.2129629629629629,0.3796296296296296,2.1142303969022262,2.764762826718296,2.1142303969022262,0.0
2025-02-06,long,2025-02-06 09:52:00-05:00,2025-02-06 09:51:00-05:00,win,1,0.5466666666666666,37.5,60.0,5.0,16.75,5.583333333333333,0.6666666666666666,1,3,0.3863636363636363,0.487012987012987,0.7615062761506275,1.99163179916318,0.7615062761506275,0.0
2025-02-06,long,2025-02-06 10:08:00-05:00,2025-02-06 10:03:00-05:00,win,1,0.4619289340101523,49.25,300.0,3.5,38.0,3.4545454545454546,0.8181818181818182,4,11,0.3510324483775811,0.5811209439528023,2.020785219399538,2.699769053117783,2.020785219399538,0.0
2025-02-06,long,2025-02-06 11:07:00-05:00,2025-02-06 11:06:00-05:00,win,1,0.4285714285714285,21.0,60.0,3.25,18.25,6.083333333333333,0.6666666666666666,1,3,0.2668161434977578,0.1883408071748878,5.796711509715994,5.733931240657698,5.796711509715994,0.0
2025-02-06,long,2025-02-06 11:51:00-05:00,2025-02-06 11:46:00-05:00,loss,0,0.5785714285714286,35.0,300.0,4.0,23.5,2.136363636363636,0.6363636363636364,5,11,0.2668161434977578,0.3139013452914798,7.5141242937853105,7.224105461393597,7.5141242937853105,0.0
2025-02-13,short,2025-02-13 09:42:00-05:00,2025-02-13 09:41:00-05:00,loss,0,0.4310344827586206,29.0,60.0,1.75,13.0,4.333333333333333,0.6666666666666666,2,3,0.1594827586206896,0.25,0.7049891540130152,1.0433839479392624,0.0,0.7049891540130152
2025-02-13,long,2025-02-13 09:47:00-05:00,2025-02-13 09:46:00-05:00,loss,0,1.0298507462686568,16.75,60.0,34.75,55.0,18.333333333333332,0.3333333333333333,1,3,0.1594827586206896,0.1443965517241379,3.5122979620520027,2.7449051300070275,3.5122979620520027,0.0
2025-02-13,long,2025-02-13 09:53:00-05:00,2025-02-13 09:52:00-05:00,win,1,0.6,25.0,60.0,7.5,15.5,5.166666666666667,1.0,3,3,0.1594827586206896,0.2155172413793103,2.81692573402418,3.3730569948186533,2.81692573402418,0.0
2025-02-14,long,2025-02-14 09:56:00-05:00,2025-02-14 09:56:00-05:00,loss,0,0.7373737373737373,24.75,0.0,0.25,0.25,0.25,0.0,0,1,0.4675925925925926,0.4583333333333333,0.6287978863936592,1.2206076618229855,0.6287978863936592,0.0
2025-02-14,long,2025-02-14 10:21:00-05:00,2025-02-14 10:20:00-05:00,loss,0,0.4716981132075472,39.75,60.0,0.25,12.5,4.166666666666667,1.0,3,3,0.3506944444444444,0.5520833333333334,1.5934959349593496,2.6178861788617884,1.5934959349593496,0.0
2025-02-14,long,2025-02-14 10:49:00-05:00,2025-02-14 10:42:00-05:00,win,1,0.4978723404255319,58.75,420.0,5.25,47.5,3.1666666666666665,0.8,6,15,0.3506944444444444,0.8159722222222222,2.301038062283737,3.342560553633218,2.301038062283737,0.0
