Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
01/02/26,10:01:00,MNQ,Buy,6,25766.5,Future,Mar 26,,,,
01/02/26,10:08:00,MNQ,Sell,6,25708.0,Future,Mar 26,,,,
01/05/26,09:49:00,MNQ,Sell,4,25575.75,Future,Mar 26,,,,
01/05/26,10:05:00,MNQ,Buy,4,25634.5,Future,Mar 26,,,,
01/05/26,10:32:00,MNQ,Buy,18,25680.0,Future,Mar 26,,,,
01/05/26,10:38:00,MNQ,Sell,18,25660.5,Future,Mar 26,,,,
01/05/26,10:41:00,MNQ,Buy,13,25668.25,Future,Mar 26,,,,
01/05/26,10:45:00,MNQ,Sell,13,25641.25,Future,Mar 26,,,,
01/05/26,10:53:00,MNQ,Buy,16,25659.25,Future,Mar 26,,,,
01/05/26,11:00:00,MNQ,Sell,16,25664.5,Future,Mar 26,,,,
01/07/26,09:39:00,MNQ,Buy,11,25819.25,Future,Mar 26,,,,
01/07/26,09:41:30,MNQ,Sell,2,25845.65,Future,Mar 26,,,,
01/07/26,09:42:30,MNQ,Sell,3,25863.25,Future,Mar 26,,,,
01/07/26,10:32:30,MNQ,Sell,6,25885.25,Future,Mar 26,,,,
01/08/26,09:34:00,MNQ,Sell,7,25731.75,Future,Mar 26,,,,
01/08/26,09:34:30,MNQ,Buy,1,25693.35,Future,Mar 26,,,,
01/08/26,09:40:30,MNQ,Buy,2,25667.75,Future,Mar 26,,,,
01/08/26,09:42:30,MNQ,Buy,4,25635.75,Future,Mar 26,,,,
01/09/26,10:00:00,MNQ,Buy,4,25734.0,Future,Mar 26,,,,
01/09/26,10:07:00,MNQ,Sell,4,25672.0,Future,Mar 26,,,,
01/13/26,10:09:00,MNQ,Sell,7,25924.75,Future,Mar 26,,,,
01/13/26,10:15:30,MNQ,Buy,1,25885.15,Future,Mar 26,,,,
01/13/26,10:20:30,MNQ,Buy,2,25858.75,Future,Mar 26,,,,
01/13/26,10:25:30,MNQ,Buy,4,25825.75,Future,Mar 26,,,,
01/14/26,09:40:00,MNQ,Sell,8,25696.25,Future,Mar 26,,,,
01/14/26,09:41:30,MNQ,Buy,2,25661.15,Future,Mar 26,,,,
01/14/26,09:43:30,MNQ,Buy,2,25637.75,Future,Mar 26,,,,
01/14/26,09:55:30,MNQ,Buy,4,25608.5,Future,Mar 26,,,,
01/15/26,09:59:00,MNQ,Sell,7,25883.5,Future,Mar 26,,,,
01/15/26,10:07:30,MNQ,Buy,1,25841.8,Future,Mar 26,,,,
01/15/26,10:51:30,MNQ,Buy,2,25814.0,Future,Mar 26,,,,
01/15/26,11:00:00,MNQ,Buy,4,25884.0,Future,Mar 26,,,,
01/16/26,09:48:00,MNQ,Sell,10,25828.5,Future,Mar 26,,,,
01/16/26,09:53:30,MNQ,Buy,2,25799.1,Future,Mar 26,,,,
01/16/26,09:54:30,MNQ,Buy,3,25779.5,Future,Mar 26,,,,
01/16/26,09:56:30,MNQ,Buy,5,25755.0,Future,Mar 26,,,,
01/20/26,09:39:00,MNQ,Buy,4,25326.25,Future,Mar 26,,,,
01/20/26,09:41:00,MNQ,Sell,4,25251.25,Future,Mar 26,,,,
01/20/26,09:45:00,MNQ,Buy,5,25333.75,Future,Mar 26,,,,
01/20/26,09:48:00,MNQ,Sell,5,25270.5,Future,Mar 26,,,,
01/20/26,09:59:00,MNQ,Buy,6,25334.75,Future,Mar 26,,,,
01/20/26,10:03:00,MNQ,Sell,6,25292.5,Future,Mar 26,,,,
01/20/26,10:22:00,MNQ,Buy,3,25331.5,Future,Mar 26,,,,
01/20/26,11:00:00,MNQ,Sell,3,25363.25,Future,Mar 26,,,,
01/21/26,09:36:00,MNQ,Sell,6,25158.0,Future,Mar 26,,,,
01/21/26,09:45:00,MNQ,Buy,6,25201.5,Future,Mar 26,,,,
01/21/26,09:50:00,MNQ,Buy,8,25236.0,Future,Mar 26,,,,
01/21/26,09:52:30,MNQ,Sell,2,25269.6,Future,Mar 26,,,,
01/21/26,09:55:30,MNQ,Sell,2,25292.0,Future,Mar 26,,,,
01/21/26,09:57:30,MNQ,Sell,4,25320.0,Future,Mar 26,,,,
01/22/26,09:42:00,MNQ,Sell,8,25664.5,Future,Mar 26,,,,
01/22/26,09:43:30,MNQ,Buy,2,25628.5,Future,Mar 26,,,,
01/22/26,09:47:30,MNQ,Buy,2,25604.5,Future,Mar 26,,,,
01/22/26,09:48:30,MNQ,Buy,4,25574.5,Future,Mar 26,,,,
01/23/26,09:47:00,MNQ,Sell,6,25598.5,Future,Mar 26,,,,
01/23/26,09:58:00,MNQ,Buy,6,25645.5,Future,Mar 26,,,,
01/28/26,09:45:00,MNQ,Buy,12,26285.25,Future,Mar 26,,,,
01/28/26,09:48:00,MNQ,Sell,12,26240.5,Future,Mar 26,,,,
01/28/26,10:03:00,MNQ,Buy,9,26257.0,Future,Mar 26,,,,
01/28/26,10:11:00,MNQ,Sell,9,26227.0,Future,Mar 26,,,,
01/28/26,10:15:00,MNQ,Sell,14,26215.75,Future,Mar 26,,,,
01/28/26,10:16:00,MNQ,Buy,14,26235.75,Future,Mar 26,,,,
01/28/26,10:18:00,MNQ,Sell,11,26232.25,Future,Mar 26,,,,
01/28/26,10:34:30,MNQ,Buy,2,26205.85,Future,Mar 26,,,,
01/28/26,10:43:30,MNQ,Buy,3,26188.25,Future,Mar 26,,,,
01/28/26,10:47:30,MNQ,Buy,6,26166.25,Future,Mar 26,,,,
01/29/26,09:34:00,MNQ,Sell,9,26109.5,Future,Mar 26,,,,
