Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
01/03/25,09:57:00,MNQ,Buy,3,21378.25,Future,Mar 25,,,,
01/03/25,10:21:00,MNQ,Sell,3,21279.5,Future,Mar 25,,,,
01/03/25,10:34:00,MNQ,Buy,5,21345.25,Future,Mar 25,,,,
01/03/25,11:04:00,MNQ,Sell,1,21403.45,Future,Mar 25,,,,
01/03/25,11:31:00,MNQ,Sell,1,21442.25,Future,Mar 25,,,,
01/03/25,11:55:00,MNQ,Sell,3,21490.75,Future,Mar 25,,,,
01/06/25,09:37:00,MNQ,Buy,11,21778.0,Future,Mar 25,,,,
01/06/25,09:41:00,MNQ,Sell,2,21804.1,Future,Mar 25,,,,
01/06/25,09:44:00,MNQ,Sell,3,21821.5,Future,Mar 25,,,,
01/06/25,09:54:00,MNQ,Sell,6,21843.25,Future,Mar 25,,,,
01/08/25,10:43:00,MNQ,Sell,6,21318.25,Future,Mar 25,,,,
01/08/25,10:44:30,MNQ,Buy,3,21298.45,Future,Mar 25,,,,
01/08/25,10:52:00,MNQ,Buy,3,21343.0,Future,Mar 25,,,,
01/08/25,10:55:00,MNQ,Buy,13,21347.25,Future,Mar 25,,,,
01/08/25,11:03:00,MNQ,Sell,13,21322.0,Future,Mar 25,,,,
01/08/25,11:05:00,MNQ,Sell,6,21317.5,Future,Mar 25,,,,
01/08/25,11:07:00,MNQ,Buy,3,21298.6,Future,Mar 25,,,,
01/08/25,11:11:00,MNQ,Buy,3,21342.75,Future,Mar 25,,,,
01/08/25,11:16:00,MNQ,Sell,11,21325.75,Future,Mar 25,,,,
01/08/25,11:21:00,MNQ,Buy,11,21355.75,Future,Mar 25,,,,
01/08/25,11:33:00,MNQ,Buy,3,21365.0,Future,Mar 25,,,,
01/08/25,11:42:00,MNQ,Sell,1,21405.5,Future,Mar 25,,,,
01/08/25,12:01:00,MNQ,Sell,2,21382.5,Future,Mar 25,,,,
01/13/25,10:06:00,MNQ,Buy,5,20822.0,Future,Mar 25,,,,
01/13/25,10:15:00,MNQ,Sell,5,20772.75,Future,Mar 25,,,,
01/13/25,10:19:00,MNQ,Buy,6,20795.25,Future,Mar 25,,,,
01/13/25,10:25:00,MNQ,Sell,6,20749.75,Future,Mar 25,,,,
01/13/25,11:41:00,MNQ,Buy,12,20779.75,Future,Mar 25,,,,
01/13/25,11:42:00,MNQ,Sell,3,20804.35,Future,Mar 25,,,,
01/13/25,11:44:30,MNQ,Sell,4,20820.75,Future,Mar 25,,,,
01/13/25,11:56:00,MNQ,Sell,5,20757.25,Future,Mar 25,,,,
01/14/25,09:42:00,MNQ,Buy,10,21107.75,Future,Mar 25,,,,
01/14/25,09:47:00,MNQ,Sell,10,21082.25,Future,Mar 25,,,,
01/14/25,10:16:00,MNQ,Buy,8,21091.5,Future,Mar 25,,,,
01/14/25,10:23:00,MNQ,Sell,8,21035.0,Future,Mar 25,,,,
01/14/25,10:25:00,MNQ,Sell,13,21040.5,Future,Mar 25,,,,
01/14/25,10:28:30,MNQ,Buy,3,21018.6,Future,Mar 25,,,,
01/14/25,10:33:30,MNQ,Buy,3,20994.875,Future,Mar 25,,,,
01/14/25,10:39:00,MNQ,Buy,3,20967.5,Future,Mar 25,,,,
01/14/25,11:01:00,MNQ,Buy,4,20921.875,Future,Mar 25,,,,
01/16/25,09:43:00,MNQ,Sell,7,21441.25,Future,Mar 25,,,,
01/16/25,09:45:30,MNQ,Buy,1,21402.55,Future,Mar 25,,,,
01/16/25,09:48:00,MNQ,Buy,2,21376.75,Future,Mar 25,,,,
01/16/25,10:01:00,MNQ,Buy,4,21344.5,Future,Mar 25,,,,
01/16/25,11:26:00,MNQ,Sell,3,21399.25,Future,Mar 25,,,,
