Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
01/06/25,09:37:00,MNQ,Buy,2,21778.0,Future,Mar 25,,,,
01/06/25,09:41:00,MNQ,Sell,2,21804.1,Future,Mar 25,,,,
01/06/25,09:37:00,MNQ,Buy,3,21778.0,Future,Mar 25,,,,
01/06/25,09:44:00,MNQ,Sell,3,21821.5,Future,Mar 25,,,,
01/06/25,09:37:00,MNQ,Buy,6,21778.0,Future,Mar 25,,,,
01/06/25,09:54:00,MNQ,Sell,6,21843.25,Future,Mar 25,,,,
01/08/25,10:43:00,MNQ,Sell,3,21318.25,Future,Mar 25,,,,
01/08/25,10:44:30,MNQ,Buy,3,21298.45,Future,Mar 25,,,,
01/08/25,10:43:00,MNQ,Sell,3,21318.25,Future,Mar 25,,,,
01/08/25,10:51:00,MNQ,Buy,3,21331.75,Future,Mar 25,,,,
01/08/25,10:55:00,MNQ,Buy,13,21347.25,Future,Mar 25,,,,
01/08/25,11:03:00,MNQ,Sell,13,21322.0,Future,Mar 25,,,,
01/24/25,10:12:00,MNQ,Sell,4,22024.0,Future,Mar 25,,,,
01/24/25,10:15:30,MNQ,Buy,4,22007.2,Future,Mar 25,,,,
01/24/25,10:12:00,MNQ,Sell,4,22024.0,Future,Mar 25,,,,
01/24/25,10:21:30,MNQ,Buy,4,21989.0,Future,Mar 25,,,,
01/24/25,10:12:00,MNQ,Sell,4,22024.0,Future,Mar 25,,,,
01/24/25,11:43:00,MNQ,Buy,4,22027.5,Future,Mar 25,,,,
01/28/25,10:12:00,MNQ,Buy,2,21335.5,Future,Mar 25,,,,
01/28/25,10:13:00,MNQ,Sell,2,21361.3,Future,Mar 25,,,,
01/28/25,10:12:00,MNQ,Buy,3,21335.5,Future,Mar 25,,,,
01/28/25,10:15:00,MNQ,Sell,3,21378.5,Future,Mar 25,,,,
01/28/25,10:12:00,MNQ,Buy,6,21335.5,Future,Mar 25,,,,
01/28/25,10:22:30,MNQ,Sell,6,21400.0,Future,Mar 25,,,,
02/03/25,10:07:00,MNQ,Sell,2,21171.25,Future,Mar 25,,,,
02/03/25,10:22:00,MNQ,Buy,2,21198.5,Future,Mar 25,,,,
02/03/25,10:07:00,MNQ,Sell,1,21171.25,Future,Mar 25,,,,
02/03/25,10:14:30,MNQ,Buy,1,21133.15,Future,Mar 25,,,,
02/06/25,11:09:00,MNQ,Buy,4,21782.0,Future,Mar 25,,,,
02/06/25,11:11:00,MNQ,Sell,4,21798.8,Future,Mar 25,,,,
02/06/25,11:09:00,MNQ,Buy,4,21782.0,Future,Mar 25,,,,
02/06/25,11:38:00,MNQ,Sell,4,21774.25,Future,Mar 25,,,,
02/14/25,09:45:00,MNQ,Sell,18,22095.75,Future,Mar 25,,,,
02/14/25,09:47:00,MNQ,Buy,18,22115.25,Future,Mar 25,,,,
02/14/25,09:56:00,MNQ,Buy,13,22133.5,Future,Mar 25,,,,
02/14/25,10:02:00,MNQ,Sell,13,22112.25,Future,Mar 25,,,,
02/21/25,09:37:00,MNQ,Sell,2,22146.75,Future,Mar 25,,,,
02/21/25,09:39:00,MNQ,Buy,2,22111.05,Future,Mar 25,,,,
02/21/25,09:37:00,MNQ,Sell,2,22146.75,Future,Mar 25,,,,
02/21/25,09:57:30,MNQ,Buy,2,22087.25,Future,Mar 25,,,,
02/21/25,09:37:00,MNQ,Sell,4,22146.75,Future,Mar 25,,,,
02/21/25,10:00:30,MNQ,Buy,4,22057.5,Future,Mar 25,,,,
02/24/25,09:40:00,MNQ,Sell,2,21702.25,Future,Mar 25,,,,
02/24/25,09:51:00,MNQ,Buy,2,21665.95,Future,Mar 25,,,,
02/24/25,09:40:00,MNQ,Sell,2,21702.25,Future,Mar 25,,,,
02/24/25,09:52:30,MNQ,Buy,2,21641.75,Future,Mar 25,,,,
02/24/25,09:40:00,MNQ,Sell,4,21702.25,Future,Mar 25,,,,
02/24/25,09:53:30,MNQ,Buy,4,21611.5,Future,Mar 25,,,,
02/25/25,09:41:00,MNQ,Sell,3,21342.75,Future,Mar 25,,,,
02/25/25,09:53:30,MNQ,Buy,3,21217.5,Future,Mar 25,,,,
02/25/25,09:41:00,MNQ,Sell,1,21342.75,Future,Mar 25,,,,
02/25/25,09:48:00,MNQ,Buy,1,21292.65,Future,Mar 25,,,,
02/25/25,09:41:00,MNQ,Sell,1,21342.75,Future,Mar 25,,,,
02/25/25,09:51:30,MNQ,Buy,1,21259.25,Future,Mar 25,,,,
02/26/25,09:44:00,MNQ,Buy,2,21230.75,Future,Mar 25,,,,
