Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
03/03/26,09:57:00,MNQ,Sell,5,24517.75,Future,Mar 26,,,,
03/03/26,10:17:30,MNQ,Buy,1,24458.65,Future,Mar 26,,,,
03/03/26,10:21:00,MNQ,Buy,1,24419.25,Future,Mar 26,,,,
03/03/26,10:26:00,MNQ,Buy,3,24370.0,Future,Mar 26,,,,
03/03/26,11:35:00,MNQ,Buy,5,24608.5,Future,Mar 26,,,,
03/03/26,11:46:00,MNQ,Sell,1,24663.1,Future,Mar 26,,,,
03/03/26,11:47:00,MNQ,Sell,1,24699.5,Future,Mar 26,,,,
03/03/26,12:00:00,MNQ,Sell,3,24680.25,Future,Mar 26,,,,
03/05/26,09:48:00,MNQ,Buy,3,25101.75,Future,Mar 26,,,,
03/05/26,09:58:30,MNQ,Sell,3,25181.55,Future,Mar 26,,,,
03/05/26,10:45:00,MNQ,Buy,10,25041.5,Future,Mar 26,,,,
03/05/26,10:48:30,MNQ,Sell,2,25069.7,Future,Mar 26,,,,
03/05/26,10:52:30,MNQ,Sell,3,25088.5,Future,Mar 26,,,,
03/05/26,11:09:00,MNQ,Sell,5,25010.0,Future,Mar 26,,,,
03/05/26,11:15:00,MNQ,Sell,4,24986.0,Future,Mar 26,,,,
03/05/26,11:18:30,MNQ,Buy,2,24951.2,Future,Mar 26,,,,
03/05/26,11:32:00,MNQ,Buy,2,25016.5,Future,Mar 26,,,,
03/05/26,11:35:00,MNQ,Sell,8,25002.75,Future,Mar 26,,,,
03/05/26,11:46:00,MNQ,Buy,8,25042.0,Future,Mar 26,,,,
03/05/26,11:54:00,MNQ,Sell,6,25013.75,Future,Mar 26,,,,
03/05/26,12:00:00,MNQ,Buy,6,25036.5,Future,Mar 26,,,,
03/06/26,10:07:00,MNQ,Buy,5,24760.5,Future,Mar 26,,,,
03/06/26,10:10:00,MNQ,Sell,5,24676.0,Future,Mar 26,,,,
03/09/26,09:50:00,MNQ,Sell,4,24361.5,Future,Mar 26,,,,
03/09/26,10:04:00,MNQ,Buy,4,24440.25,Future,Mar 26,,,,
03/09/26,10:30:00,MNQ,Sell,3,24401.75,Future,Mar 26,,,,
03/09/26,10:37:00,MNQ,Buy,3,24478.75,Future,Mar 26,,,,
03/11/26,09:40:00,MNQ,Buy,13,25102.5,Future,Mar 26,,,,
03/11/26,09:45:00,MNQ,Sell,13,25070.25,Future,Mar 26,,,,
03/11/26,10:06:00,MNQ,Buy,4,25138.0,Future,Mar 26,,,,
03/11/26,10:12:00,MNQ,Sell,4,25082.5,Future,Mar 26,,,,
03/12/26,09:39:00,MNQ,Buy,6,24813.75,Future,Mar 26,,,,
03/12/26,09:39:30,MNQ,Sell,3,24834.15,Future,Mar 26,,,,
03/12/26,09:42:00,MNQ,Sell,3,24790.75,Future,Mar 26,,,,
03/17/26,10:28:00,MNQ,Buy,4,24841.0,Future,Jun 26,,,,
03/17/26,11:36:00,MNQ,Sell,4,24762.5,Future,Jun 26,,,,
03/17/26,11:56:00,MNQ,Buy,14,24788.25,Future,Jun 26,,,,
03/17/26,12:00:00,MNQ,Sell,14,24773.25,Future,Jun 26,,,,
03/18/26,09:46:00,MNQ,Buy,4,24739.5,Future,Jun 26,,,,
03/18/26,09:47:00,MNQ,Sell,2,24776.1,Future,Jun 26,,,,
03/18/26,10:03:00,MNQ,Sell,2,24706.0,Future,Jun 26,,,,
03/18/26,10:18:00,MNQ,Sell,12,24687.5,Future,Jun 26,,,,
03/18/26,10:26:00,MNQ,Buy,3,24664.4,Future,Jun 26,,,,
03/18/26,10:26:00,MNQ,Buy,4,24649.0,Future,Jun 26,,,,
03/18/26,10:26:30,MNQ,Buy,5,24629.75,Future,Jun 26,,,,
03/18/26,11:20:00,MNQ,Sell,4,24660.75,Future,Jun 26,,,,
03/18/26,12:00:00,MNQ,Buy,4,24680.25,Future,Jun 26,,,,
03/19/26,09:44:00,MNQ,Buy,10,24226.75,Future,Jun 26,,,,
03/19/26,09:47:00,MNQ,Sell,10,24184.25,Future,Jun 26,,,,
