Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
01/02/25,09:54:00,MNQ,Sell,12,21348.75,Future,Mar 25,,,,
01/02/25,09:54:30,MNQ,Buy,6,21337.65,Future,Mar 25,,,,
01/02/25,09:55:00,MNQ,Buy,6,21379.5,Future,Mar 25,,,,
01/02/25,11:41:00,MNQ,Sell,24,21318.75,Future,Mar 25,,,,
01/02/25,11:41:30,MNQ,Buy,8,21310.05,Future,Mar 25,,,,
01/02/25,11:43:30,MNQ,Buy,8,21300.625,Future,Mar 25,,,,
01/02/25,11:49:00,MNQ,Buy,8,21340.25,Future,Mar 25,,,,
01/02/25,11:51:00,MNQ,Sell,16,21343.25,Future,Mar 25,,,,
01/02/25,11:51:30,MNQ,Buy,8,21334.55,Future,Mar 25,,,,
01/02/25,11:52:00,MNQ,Buy,8,21355.5,Future,Mar 25,,,,
01/02/25,11:54:00,MNQ,Buy,30,21328.75,Future,Mar 25,,,,
01/02/25,11:55:00,MNQ,Sell,30,21306.0,Future,Mar 25,,,,
01/02/25,12:00:00,MNQ,Sell,20,21316.5,Future,Mar 25,,,,
01/02/25,12:01:00,MNQ,Buy,20,21306.0,Future,Mar 25,,,,
01/03/25,09:53:00,MNQ,Buy,7,21340.25,Future,Mar 25,,,,
01/03/25,09:57:00,MNQ,Sell,1,21378.35,Future,Mar 25,,,,
01/03/25,10:00:30,MNQ,Sell,2,21403.75,Future,Mar 25,,,,
01/03/25,10:05:30,MNQ,Sell,4,21435.5,Future,Mar 25,,,,
01/03/25,10:19:00,MNQ,Buy,14,21315.0,Future,Mar 25,,,,
01/03/25,10:21:00,MNQ,Sell,14,21279.5,Future,Mar 25,,,,
01/03/25,10:24:00,MNQ,Sell,27,21297.75,Future,Mar 25,,,,
01/03/25,10:25:00,MNQ,Buy,27,21322.25,Future,Mar 25,,,,
01/03/25,10:32:00,MNQ,Buy,9,21323.25,Future,Mar 25,,,,
